WP, 19, 2014100100,   , MTWC,   0,  45N, 1681E,  25,    0, TD
WP, 19, 2014100106,   , MTWC,   0,  48N, 1675E,  25,    0, TD
WP, 19, 2014100112,   , MTWC,   0,  51N, 1661E,  30,    0, TD
WP, 19, 2014100118,   , MTWC,   0,  55N, 1649E,  35,    0, TS
WP, 19, 2014100200,   , MTWC,   0,  62N, 1638E,  35,    0, TS
WP, 19, 2014100206,   , MTWC,   0,  68N, 1627E,  40,    0, TS
WP, 19, 2014100212,   , MTWC,   0,  73N, 1621E,  45,    0, TS
WP, 19, 2014100218,   , MTWC,   0,  80N, 1612E,  50,    0, TS
WP, 19, 2014100300,   , MTWC,   0,  84N, 1599E,  50,    0, TS
WP, 19, 2014100306,   , MTWC,   0,  85N, 1587E,  50,    0, TS
WP, 19, 2014100312,   , MTWC,   0,  87N, 1575E,  50,    0, TS
WP, 19, 2014100318,   , MTWC,   0,  90N, 1562E,  50,    0, TS
WP, 19, 2014100400,   , MTWC,   0,  96N, 1551E,  55,    0, TS
WP, 19, 2014100406,   , MTWC,   0, 104N, 1540E,  55,    0, TS
WP, 19, 2014100412,   , MTWC,   0, 111N, 1529E,  60,    0, TS
WP, 19, 2014100418,   , MTWC,   0, 120N, 1515E,  75,    0, TY
WP, 19, 2014100500,   , MTWC,   0, 125N, 1500E,  90,    0, TY
WP, 19, 2014100506,   , MTWC,   0, 133N, 1485E,  70,    0, TY
WP, 19, 2014100512,   , MTWC,   0, 138N, 1469E,  70,    0, TY
WP, 19, 2014100518,   , MTWC,   0, 145N, 1451E,  75,    0, TY
WP, 19, 2014100600,   , MTWC,   0, 151N, 1433E,  75,    0, TY
WP, 19, 2014100606,   , MTWC,   0, 158N, 1413E,  75,    0, TY
WP, 19, 2014100612,   , MTWC,   0, 165N, 1397E,  75,    0, TY
WP, 19, 2014100618,   , MTWC,   0, 168N, 1381E,  90,    0, TY
WP, 19, 2014100700,   , MTWC,   0, 169N, 1365E, 110,    0, TY
WP, 19, 2014100706,   , MTWC,   0, 173N, 1354E, 140,    0, ST
WP, 19, 2014100712,   , MTWC,   0, 174N, 1342E, 165,    0, ST
WP, 19, 2014100718,   , MTWC,   0, 177N, 1332E, 168,    0, ST
WP, 19, 2014100800,   , MTWC,   0, 179N, 1322E, 165,    0, ST
WP, 19, 2014100806,   , MTWC,   0, 182N, 1315E, 160,    0, ST
WP, 19, 2014100812,   , MTWC,   0, 184N, 1310E, 155,    0, ST
WP, 19, 2014100818,   , MTWC,   0, 188N, 1305E, 145,    0, ST
WP, 19, 2014100900,   , MTWC,   0, 192N, 1300E, 140,    0, ST
WP, 19, 2014100906,   , MTWC,   0, 197N, 1299E, 135,    0, ST
WP, 19, 2014100912,   , MTWC,   0, 202N, 1296E, 125,    0, TY
WP, 19, 2014100918,   , MTWC,   0, 208N, 1294E, 120,    0, TY
WP, 19, 2014101000,   , MTWC,   0, 214N, 1294E, 110,    0, TY
WP, 19, 2014101006,   , MTWC,   0, 222N, 1293E, 110,    0, TY
WP, 19, 2014101012,   , MTWC,   0, 231N, 1292E, 105,    0, TY
WP, 19, 2014101018,   , MTWC,   0, 238N, 1290E, 105,    0, TY
WP, 19, 2014101100,   , MTWC,   0, 244N, 1288E, 100,    0, TY
WP, 19, 2014101106,   , MTWC,   0, 253N, 1286E, 100,    0, TY
WP, 19, 2014101112,   , MTWC,   0, 261N, 1281E, 100,    0, TY
WP, 19, 2014101118,   , MTWC,   0, 269N, 1277E,  85,    0, TY
WP, 19, 2014101200,   , MTWC,   0, 277N, 1274E,  65,    0, TY
WP, 19, 2014101206,   , MTWC,   0, 288N, 1271E,  55,    0, TS
WP, 19, 2014101212,   , MTWC,   0, 297N, 1276E,  50,    0, TS
WP, 19, 2014101218,   , MTWC,   0, 306N, 1290E,  50,    0, TS
WP, 19, 2014101300,   , MTWC,   0, 313N, 1303E,  50,    0, TS
WP, 19, 2014101306,   , MTWC,   0, 331N, 1330E,  50,    0, TS
WP, 19, 2014101312,   , MTWC,   0, 345N, 1360E,  50,    0, EX
WP, 19, 2014101318,   , MTWC,   0, 365N, 1397E,  55,    0, EX
WP, 19, 2014101400,   , MTWC,   0, 390N, 1432E,  65,    0, EX
WP, 19, 2014101406,   , MTWC,   0, 405N, 1460E,  65,    0, EX
WP, 19, 2014101412,   , MTWC,   0, 420N, 1494E,  65,    0, EX
WP, 19, 2014101418,   , MTWC,   0, 441N, 1531E,  65,    0, EX
WP, 19, 2014101500,   , MTWC,   0, 465N, 1562E,  65,    0, EX
WP, 19, 2014101506,   , MTWC,   0, 484N, 1604E,  65,    0, EX
WP, 19, 2014101512,   , MTWC,   0, 499N, 1645E,  65,    0, EX
WP, 19, 2014101518,   , MTWC,   0, 512N, 1693E,  60,    0, EX
WP, 19, 2014101600,   , MTWC,   0, 517N, 1734E,  60,    0, EX
WP, 19, 2014101606,   , MTWC,   0, 515N, 1778E,  60,    0, EX
WP, 19, 2014101612,   , MTWC,   0, 510N, 1800E,  60,    0, EX
