WP, 12, 2022082600,   , MTWC,   0, 207N, 1484E,  15,    0, DB
WP, 12, 2022082606,   , MTWC,   0, 208N, 1487E,  20,    0, DB
WP, 12, 2022082612,   , MTWC,   0, 210N, 1492E,  20,    0, DB
WP, 12, 2022082618,   , MTWC,   0, 213N, 1496E,  20,    0, DB
WP, 12, 2022082700,   , MTWC,   0, 217N, 1501E,  25,    0, TD
WP, 12, 2022082706,   , MTWC,   0, 224N, 1507E,  30,    0, TD
WP, 12, 2022082712,   , MTWC,   0, 231N, 1510E,  40,    0, TS
WP, 12, 2022082718,   , MTWC,   0, 241N, 1509E,  50,    0, TS
WP, 12, 2022082800,   , MTWC,   0, 250N, 1503E,  65,    0, TY
WP, 12, 2022082806,   , MTWC,   0, 259N, 1494E,  75,    0, TY
WP, 12, 2022082812,   , MTWC,   0, 267N, 1483E,  70,    0, TY
WP, 12, 2022082818,   , MTWC,   0, 272N, 1469E,  75,    0, TY
WP, 12, 2022082900,   , MTWC,   0, 273N, 1453E,  85,    0, TY
WP, 12, 2022082906,   , MTWC,   0, 274N, 1432E, 105,    0, TY
WP, 12, 2022082912,   , MTWC,   0, 273N, 1412E, 125,    0, TY
WP, 12, 2022082918,   , MTWC,   0, 271N, 1392E, 140,    0, ST
WP, 12, 2022083000,   , MTWC,   0, 268N, 1373E, 125,    0, TY
WP, 12, 2022083006,   , MTWC,   0, 268N, 1354E, 155,    0, ST
WP, 12, 2022083012,   , MTWC,   0, 266N, 1336E, 162,    0, ST
WP, 12, 2022083018,   , MTWC,   0, 263N, 1319E, 152,    0, ST
WP, 12, 2022083100,   , MTWC,   0, 259N, 1303E, 138,    0, ST
WP, 12, 2022083106,   , MTWC,   0, 254N, 1290E, 125,    0, TY
WP, 12, 2022083112,   , MTWC,   0, 247N, 1277E, 130,    0, ST
WP, 12, 2022083118,   , MTWC,   0, 237N, 1264E, 145,    0, ST
WP, 12, 2022090100,   , MTWC,   0, 225N, 1257E, 155,    0, ST
WP, 12, 2022090106,   , MTWC,   0, 218N, 1255E, 135,    0, ST
WP, 12, 2022090112,   , MTWC,   0, 213N, 1255E, 120,    0, TY
WP, 12, 2022090118,   , MTWC,   0, 212N, 1255E, 105,    0, TY
WP, 12, 2022090200,   , MTWC,   0, 215N, 1254E,  90,    0, TY
WP, 12, 2022090206,   , MTWC,   0, 219N, 1251E,  70,    0, TY
WP, 12, 2022090212,   , MTWC,   0, 222N, 1247E,  75,    0, TY
WP, 12, 2022090218,   , MTWC,   0, 225N, 1246E,  80,    0, TY
WP, 12, 2022090300,   , MTWC,   0, 230N, 1247E,  85,    0, TY
WP, 12, 2022090306,   , MTWC,   0, 237N, 1248E,  85,    0, TY
WP, 12, 2022090312,   , MTWC,   0, 243N, 1247E,  90,    0, TY
WP, 12, 2022090318,   , MTWC,   0, 251N, 1246E, 100,    0, TY
WP, 12, 2022090400,   , MTWC,   0, 260N, 1245E, 120,    0, TY
WP, 12, 2022090406,   , MTWC,   0, 269N, 1247E, 115,    0, TY
WP, 12, 2022090412,   , MTWC,   0, 277N, 1246E, 115,    0, TY
WP, 12, 2022090418,   , MTWC,   0, 286N, 1247E, 105,    0, TY
WP, 12, 2022090500,   , MTWC,   0, 298N, 1249E, 105,    0, TY
WP, 12, 2022090506,   , MTWC,   0, 310N, 1256E, 100,    0, TY
WP, 12, 2022090512,   , MTWC,   0, 324N, 1266E,  90,    0, TY
WP, 12, 2022090518,   , MTWC,   0, 342N, 1281E,  85,    0, TY
WP, 12, 2022090600,   , MTWC,   0, 364N, 1305E,  75,    0, TY
WP, 12, 2022090606,   , MTWC,   0, 398N, 1336E,  65,    0, TY
WP, 12, 2022090612,   , MTWC,   0, 441N, 1371E,  55,    0, TS
WP, 12, 2022090618,   , MTWC,   0, 478N, 1390E,  55,    0, EX
WP, 12, 2022090700,   , MTWC,   0, 526N, 1385E,  55,    0, EX
WP, 12, 2022090706,   , MTWC,   0, 547N, 1391E,  55,    0, EX
WP, 12, 2022090712,   , MTWC,   0, 558N, 1391E,  55,    0, EX
WP, 12, 2022090718,   , MTWC,   0, 568N, 1408E,  55,    0, EX
WP, 12, 2022090800,   , MTWC,   0, 580N, 1429E,  55,    0, EX
WP, 12, 2022090806,   , MTWC,   0, 584N, 1450E,  55,    0, EX
WP, 12, 2022090812,   , MTWC,   0, 589N, 1471E,  55,    0, EX
WP, 12, 2022090818,   , MTWC,   0, 598N, 1494E,  55,    0, EX
