WP, 18, 2022092100,   , MTWC,   0, 173N, 1324E,  15,    0, DB
WP, 18, 2022092106,   , MTWC,   0, 174N, 1330E,  20,    0, DB
WP, 18, 2022092112,   , MTWC,   0, 175N, 1337E,  30,    0, TD
WP, 18, 2022092118,   , MTWC,   0, 177N, 1342E,  35,    0, TS
WP, 18, 2022092200,   , MTWC,   0, 178N, 1345E,  45,    0, TS
WP, 18, 2022092206,   , MTWC,   0, 179N, 1344E,  50,    0, TS
WP, 18, 2022092212,   , MTWC,   0, 180N, 1341E,  55,    0, TS
WP, 18, 2022092218,   , MTWC,   0, 179N, 1334E,  60,    0, TS
WP, 18, 2022092300,   , MTWC,   0, 177N, 1324E,  60,    0, TS
WP, 18, 2022092306,   , MTWC,   0, 176N, 1313E,  55,    0, TS
WP, 18, 2022092312,   , MTWC,   0, 174N, 1305E,  60,    0, TS
WP, 18, 2022092318,   , MTWC,   0, 169N, 1294E,  60,    0, TS
WP, 18, 2022092400,   , MTWC,   0, 163N, 1281E,  70,    0, TY
WP, 18, 2022092406,   , MTWC,   0, 158N, 1269E,  80,    0, TY
WP, 18, 2022092412,   , MTWC,   0, 155N, 1259E, 115,    0, TY
WP, 18, 2022092418,   , MTWC,   0, 152N, 1247E, 160,    0, ST
WP, 18, 2022092500,   , MTWC,   0, 150N, 1236E, 155,    0, ST
WP, 18, 2022092506,   , MTWC,   0, 150N, 1225E, 130,    0, ST
WP, 18, 2022092512,   , MTWC,   0, 152N, 1214E, 105,    0, TY
WP, 18, 2022092518,   , MTWC,   0, 155N, 1199E,  85,    0, TY
WP, 18, 2022092600,   , MTWC,   0, 160N, 1184E,  65,    0, TY
WP, 18, 2022092606,   , MTWC,   0, 159N, 1169E,  75,    0, TY
WP, 18, 2022092612,   , MTWC,   0, 159N, 1155E,  90,    0, TY
WP, 18, 2022092618,   , MTWC,   0, 158N, 1136E, 100,    0, TY
WP, 18, 2022092700,   , MTWC,   0, 155N, 1121E, 140,    0, ST
WP, 18, 2022092706,   , MTWC,   0, 156N, 1112E, 125,    0, TY
WP, 18, 2022092712,   , MTWC,   0, 158N, 1100E, 105,    0, TY
WP, 18, 2022092718,   , MTWC,   0, 158N, 1088E,  90,    0, TY
WP, 18, 2022092800,   , MTWC,   0, 159N, 1078E,  75,    0, TY
WP, 18, 2022092806,   , MTWC,   0, 158N, 1065E,  50,    0, TS
WP, 18, 2022092812,   , MTWC,   0, 158N, 1055E,  35,    0, TS
WP, 18, 2022092818,   , MTWC,   0, 159N, 1047E,  30,    0, TD
WP, 18, 2022092900,   , MTWC,   0, 160N, 1039E,  20,    0, DB
WP, 18, 2022092906,   , MTWC,   0, 161N, 1033E,  20,    0, DB
