WP, 15, 2013083100,   , MTWC,   0, 256N, 1215E,  25,    0, TD
WP, 15, 2013083106,   , MTWC,   0, 251N, 1219E,  25,    0, TD
WP, 15, 2013083112,   , MTWC,   0, 248N, 1223E,  25,    0, TD
WP, 15, 2013083118,   , MTWC,   0, 250N, 1226E,  30,    0, TD
WP, 15, 2013090100,   , MTWC,   0, 252N, 1232E,  35,    0, TS
WP, 15, 2013090106,   , MTWC,   0, 257N, 1237E,  35,    0, TS
WP, 15, 2013090112,   , MTWC,   0, 260N, 1243E,  45,    0, TS
WP, 15, 2013090118,   , MTWC,   0, 262N, 1248E,  45,    0, TS
WP, 15, 2013090200,   , MTWC,   0, 266N, 1254E,  50,    0, TS
WP, 15, 2013090206,   , MTWC,   0, 272N, 1261E,  55,    0, TS
WP, 15, 2013090212,   , MTWC,   0, 277N, 1266E,  55,    0, TS
WP, 15, 2013090218,   , MTWC,   0, 281N, 1272E,  60,    0, TS
WP, 15, 2013090300,   , MTWC,   0, 287N, 1275E,  65,    0, TY
WP, 15, 2013090306,   , MTWC,   0, 294N, 1282E,  65,    0, TY
WP, 15, 2013090312,   , MTWC,   0, 301N, 1292E,  70,    0, TY
WP, 15, 2013090318,   , MTWC,   0, 313N, 1305E,  60,    0, TS
WP, 15, 2013090400,   , MTWC,   0, 327N, 1326E,  50,    0, TS
WP, 15, 2013090406,   , MTWC,   0, 328N, 1335E,  40,    0, TS
WP, 15, 2013090412,   , MTWC,   0, 325N, 1340E,  40,    0, TS
WP, 15, 2013090418,   , MTWC,   0, 328N, 1359E,  40,    0, TS
WP, 15, 2013090500,   , MTWC,   0, 335N, 1366E,  35,    0, SS
WP, 15, 2013090506,   , MTWC,   0, 339N, 1377E,  35,    0, EX
WP, 15, 2013090512,   , MTWC,   0, 345N, 1388E,  35,    0, EX
WP, 15, 2013090518,   , MTWC,   0, 349N, 1402E,  35,    0, EX
WP, 15, 2013090600,   , MTWC,   0, 352N, 1418E,  35,    0, EX
WP, 15, 2013090606,   , MTWC,   0, 354N, 1432E,  35,    0, EX
