WP, 04, 2013061606,   , MTWC,   0, 119N, 1281E,  25,    0, TD
WP, 04, 2013061612,   , MTWC,   0, 124N, 1275E,  25,    0, TD
WP, 04, 2013061618,   , MTWC,   0, 127N, 1271E,  25,    0, TD
WP, 04, 2013061700,   , MTWC,   0, 132N, 1269E,  30,    0, TD
WP, 04, 2013061706,   , MTWC,   0, 135N, 1268E,  30,    0, TD
WP, 04, 2013061712,   , MTWC,   0, 146N, 1267E,  30,    0, TD
WP, 04, 2013061718,   , MTWC,   0, 156N, 1266E,  35,    0, TS
WP, 04, 2013061800,   , MTWC,   0, 167N, 1266E,  40,    0, TS
WP, 04, 2013061806,   , MTWC,   0, 179N, 1265E,  40,    0, TS
WP, 04, 2013061812,   , MTWC,   0, 190N, 1263E,  45,    0, TS
WP, 04, 2013061818,   , MTWC,   0, 199N, 1259E,  45,    0, TS
WP, 04, 2013061900,   , MTWC,   0, 210N, 1257E,  40,    0, TS
WP, 04, 2013061906,   , MTWC,   0, 223N, 1254E,  45,    0, TS
WP, 04, 2013061912,   , MTWC,   0, 239N, 1253E,  50,    0, TS
WP, 04, 2013061918,   , MTWC,   0, 252N, 1249E,  55,    0, TS
WP, 04, 2013062000,   , MTWC,   0, 267N, 1250E,  40,    0, TS
WP, 04, 2013062006,   , MTWC,   0, 286N, 1253E,  35,    0, TS
WP, 04, 2013062012,   , MTWC,   0, 299N, 1256E,  35,    0, TS
WP, 04, 2013062018,   , MTWC,   0, 310N, 1263E,  30,    0, SD
WP, 04, 2013062100,   , MTWC,   0, 320N, 1272E,  30,    0, SD
WP, 04, 2013062106,   , MTWC,   0, 327N, 1298E,  25,    0, SD
WP, 04, 2013062112,   , MTWC,   0, 324N, 1357E,  25,    0, SD
WP, 04, 2013062118,   , MTWC,   0, 326N, 1401E,  25,    0, SD
WP, 04, 2013062200,   , MTWC,   0, 334N, 1458E,  25,    0, SD
WP, 04, 2013062206,   , MTWC,   0, 342N, 1501E,  25,    0, SD
WP, 04, 2013062212,   , MTWC,   0, 350N, 1535E,  25,    0, EX
WP, 04, 2013062218,   , MTWC,   0, 366N, 1572E,  25,    0, EX
