WP, 14, 2013082406,   , MTWC,   0, 100N, 1325E,  25,    0, TD
WP, 14, 2013082412,   , MTWC,   0, 104N, 1311E,  25,    0, TD
WP, 14, 2013082418,   , MTWC,   0, 110N, 1300E,  30,    0, TD
WP, 14, 2013082500,   , MTWC,   0, 114N, 1289E,  40,    0, TS
WP, 14, 2013082506,   , MTWC,   0, 124N, 1288E,  40,    0, TS
WP, 14, 2013082512,   , MTWC,   0, 139N, 1284E,  35,    0, TS
WP, 14, 2013082518,   , MTWC,   0, 148N, 1274E,  35,    0, TS
WP, 14, 2013082600,   , MTWC,   0, 155N, 1260E,  40,    0, TS
WP, 14, 2013082606,   , MTWC,   0, 163N, 1251E,  45,    0, TS
WP, 14, 2013082612,   , MTWC,   0, 170N, 1243E,  45,    0, TS
WP, 14, 2013082618,   , MTWC,   0, 176N, 1239E,  45,    0, TS
WP, 14, 2013082700,   , MTWC,   0, 185N, 1239E,  45,    0, TS
WP, 14, 2013082706,   , MTWC,   0, 194N, 1238E,  50,    0, TS
WP, 14, 2013082712,   , MTWC,   0, 200N, 1236E,  50,    0, TS
WP, 14, 2013082718,   , MTWC,   0, 206N, 1232E,  50,    0, TS
WP, 14, 2013082800,   , MTWC,   0, 210N, 1228E,  50,    0, TS
WP, 14, 2013082806,   , MTWC,   0, 218N, 1227E,  50,    0, TS
WP, 14, 2013082812,   , MTWC,   0, 226N, 1226E,  55,    0, TS
WP, 14, 2013082818,   , MTWC,   0, 237N, 1225E,  50,    0, TS
WP, 14, 2013082900,   , MTWC,   0, 251N, 1225E,  40,    0, TS
WP, 14, 2013082906,   , MTWC,   0, 261N, 1223E,  35,    0, TS
WP, 14, 2013082912,   , MTWC,   0, 267N, 1223E,  40,    0, TS
WP, 14, 2013082918,   , MTWC,   0, 274N, 1226E,  35,    0, TS
WP, 14, 2013083000,   , MTWC,   0, 287N, 1235E,  35,    0, TS
WP, 14, 2013083006,   , MTWC,   0, 299N, 1245E,  30,    0, TD
WP, 14, 2013083012,   , MTWC,   0, 308N, 1250E,  25,    0, TD
WP, 14, 2013083018,   , MTWC,   0, 322N, 1274E,  25,    0, TD
WP, 14, 2013083100,   , MTWC,   0, 335N, 1296E,  25,    0, TD
WP, 14, 2013083106,   , MTWC,   0, 330N, 1319E,  25,    0, TD
