WP, 20, 1981091112,   , MTWC,   0,  94N, 1597E,  15,    0, DB
WP, 20, 1981091118,   , MTWC,   0,  95N, 1582E,  15,    0, DB
WP, 20, 1981091200,   , MTWC,   0,  96N, 1566E,  15,    0, DB
WP, 20, 1981091206,   , MTWC,   0,  97N, 1551E,  15,    0, DB
WP, 20, 1981091212,   , MTWC,   0,  98N, 1535E,  15,    0, DB
WP, 20, 1981091218,   , MTWC,   0,  98N, 1520E,  20,    0, DB
WP, 20, 1981091300,   , MTWC,   0,  99N, 1504E,  20,    0, DB
WP, 20, 1981091306,   , MTWC,   0,  99N, 1486E,  20,    0, DB
WP, 20, 1981091312,   , MTWC,   0, 100N, 1469E,  20,    0, DB
WP, 20, 1981091318,   , MTWC,   0, 100N, 1454E,  20,    0, DB
WP, 20, 1981091400,   , MTWC,   0, 101N, 1441E,  25,    0, TD
WP, 20, 1981091406,   , MTWC,   0, 101N, 1433E,  25,    0, TD
WP, 20, 1981091412,   , MTWC,   0, 102N, 1425E,  25,    0, TD
WP, 20, 1981091418,   , MTWC,   0, 103N, 1415E,  30,    0, TD
WP, 20, 1981091500,   , MTWC,   0, 105N, 1405E,  30,    0, TD
WP, 20, 1981091506,   , MTWC,   0, 112N, 1397E,  35,    0, TS
WP, 20, 1981091512,   , MTWC,   0, 118N, 1387E,  40,    0, TS
WP, 20, 1981091518,   , MTWC,   0, 121N, 1369E,  50,    0, TS
WP, 20, 1981091600,   , MTWC,   0, 123N, 1355E,  50,    0, TS
WP, 20, 1981091606,   , MTWC,   0, 124N, 1346E,  55,    0, TS
WP, 20, 1981091612,   , MTWC,   0, 124N, 1338E,  55,    0, TS
WP, 20, 1981091618,   , MTWC,   0, 125N, 1330E,  60,    0, TS
WP, 20, 1981091700,   , MTWC,   0, 127N, 1321E,  60,    0, TS
WP, 20, 1981091706,   , MTWC,   0, 131N, 1313E,  60,    0, TS
WP, 20, 1981091712,   , MTWC,   0, 136N, 1305E,  65,    0, TY
WP, 20, 1981091718,   , MTWC,   0, 139N, 1297E,  75,    0, TY
WP, 20, 1981091800,   , MTWC,   0, 142N, 1288E,  80,    0, TY
WP, 20, 1981091806,   , MTWC,   0, 146N, 1281E,  85,    0, TY
WP, 20, 1981091812,   , MTWC,   0, 152N, 1272E,  85,    0, TY
WP, 20, 1981091818,   , MTWC,   0, 158N, 1263E,  95,    0, TY
WP, 20, 1981091900,   , MTWC,   0, 165N, 1254E, 125,    0, TY
WP, 20, 1981091906,   , MTWC,   0, 172N, 1245E, 140,    0, ST
WP, 20, 1981091912,   , MTWC,   0, 179N, 1237E, 120,    0, TY
WP, 20, 1981091918,   , MTWC,   0, 184N, 1229E, 105,    0, TY
WP, 20, 1981092000,   , MTWC,   0, 188N, 1221E,  90,    0, TY
WP, 20, 1981092006,   , MTWC,   0, 191N, 1212E,  70,    0, TY
WP, 20, 1981092012,   , MTWC,   0, 196N, 1204E,  75,    0, TY
WP, 20, 1981092018,   , MTWC,   0, 201N, 1194E,  80,    0, TY
WP, 20, 1981092100,   , MTWC,   0, 206N, 1185E,  85,    0, TY
WP, 20, 1981092106,   , MTWC,   0, 211N, 1177E, 105,    0, TY
WP, 20, 1981092112,   , MTWC,   0, 217N, 1169E, 115,    0, TY
WP, 20, 1981092118,   , MTWC,   0, 225N, 1161E,  95,    0, TY
WP, 20, 1981092121,   , MTWC,   0, 230N, 1156E,  80,    0, TY
WP, 20, 1981092200,   , MTWC,   0, 235N, 1152E,  60,    0, TS
WP, 20, 1981092206,   , MTWC,   0, 244N, 1143E,  45,    0, TS
WP, 20, 1981092212,   , MTWC,   0, 249N, 1139E,  30,    0, TD
WP, 20, 1981092218,   , MTWC,   0, 255N, 1141E,  30,    0, TD
WP, 20, 1981092300,   , MTWC,   0, 260N, 1145E,  25,    0, TD
WP, 20, 1981092306,   , MTWC,   0, 280N, 1155E,  25,    0, TD
WP, 20, 1981092312,   , MTWC,   0, 305N, 1180E,  25,    0, TD
WP, 20, 1981092318,   , MTWC,   0, 320N, 1200E,  25,    0, TD
WP, 20, 1981092400,   , MTWC,   0, 335N, 1220E,  25,    0, TD
WP, 20, 1981092406,   , MTWC,   0, 345N, 1245E,  30,    0, TD
WP, 20, 1981092412,   , MTWC,   0, 355N, 1275E,  30,    0, TD
WP, 20, 1981092418,   , MTWC,   0, 355N, 1290E,  30,    0, TD
WP, 20, 1981092500,   , MTWC,   0, 360N, 1320E,  35,    0, EX
WP, 20, 1981092506,   , MTWC,   0, 365N, 1330E,  35,    0, EX
WP, 20, 1981092512,   , MTWC,   0, 368N, 1335E,  35,    0, EX
WP, 20, 1981092518,   , MTWC,   0, 365N, 1340E,  35,    0, EX
WP, 20, 1981092600,   , MTWC,   0, 362N, 1345E,  35,    0, EX
WP, 20, 1981092606,   , MTWC,   0, 359N, 1370E,  45,    0, EX
WP, 20, 1981092612,   , MTWC,   0, 357N, 1380E,  45,    0, EX
WP, 20, 1981092618,   , MTWC,   0, 362N, 1410E,  45,    0, EX
WP, 20, 1981092700,   , MTWC,   0, 369N, 1420E,  55,    0, EX
WP, 20, 1981092706,   , MTWC,   0, 376N, 1450E,  65,    0, EX
WP, 20, 1981092712,   , MTWC,   0, 396N, 1460E,  65,    0, EX
WP, 20, 1981092718,   , MTWC,   0, 410N, 1470E,  65,    0, EX
WP, 20, 1981092800,   , MTWC,   0, 430N, 1480E,  65,    0, EX
WP, 20, 1981092806,   , MTWC,   0, 450N, 1480E,  65,    0, EX
WP, 20, 1981092812,   , MTWC,   0, 470N, 1480E,  65,    0, EX
WP, 20, 1981092818,   , MTWC,   0, 490N, 1480E,  65,    0, EX
