SH, 16, 1972020300,   , MTWC,   0, 167S, 1485E,  20, 9999,
SH, 16, 1972020306,   , MTWC,   0, 168S, 1478E,  25, 9999,
SH, 16, 1972020312,   , MTWC,   0, 162S, 1474E,  20, 9999,
SH, 16, 1972020318,   , MTWC,   0, 160S, 1470E,  20, 9999,
SH, 16, 1972020400,   , MTWC,   0, 160S, 1470E,  25, 9999,
SH, 16, 1972020406,   , MTWC,   0, 157S, 1475E,  25, 9999,
SH, 16, 1972020412,   , MTWC,   0, 152S, 1485E,  25, 9999,
SH, 16, 1972020418,   , MTWC,   0, 147S, 1494E,  30, 9999,
SH, 16, 1972020500,   , MTWC,   0, 143S, 1497E,  30, 9999,
SH, 16, 1972020506,   , MTWC,   0, 141S, 1500E,  30, 9999,
SH, 16, 1972020512,   , MTWC,   0, 142S, 1503E,  35, 9999,
SH, 16, 1972020518,   , MTWC,   0, 143S, 1506E,  35, 9999,
SH, 16, 1972020600,   , MTWC,   0, 149S, 1504E,  40, 9999,
SH, 16, 1972020606,   , MTWC,   0, 150S, 1500E,  40, 9999,
SH, 16, 1972020612,   , MTWC,   0, 152S, 1500E,  45, 9999,
SH, 16, 1972020618,   , MTWC,   0, 153S, 1499E,  50, 9999,
SH, 16, 1972020700,   , MTWC,   0, 149S, 1502E,  50, 0994,
SH, 16, 1972020706,   , MTWC,   0, 154S, 1506E,  50, 0993,
SH, 16, 1972020712,   , MTWC,   0, 159S, 1514E,  45, 0991,
SH, 16, 1972020718,   , MTWC,   0, 163S, 1519E,  50, 0989,
SH, 16, 1972020800,   , MTWC,   0, 168S, 1524E,  65, 0988,
SH, 16, 1972020806,   , MTWC,   0, 174S, 1532E,  75, 0987,
SH, 16, 1972020812,   , MTWC,   0, 182S, 1540E,  85, 0984,
SH, 16, 1972020818,   , MTWC,   0, 187S, 1548E,  95, 0981,
SH, 16, 1972020821,   , MTWC,   0, 191S, 1556E, 100, 0979,
SH, 16, 1972020900,   , MTWC,   0, 191S, 1556E,  95, 0979,
SH, 16, 1972020906,   , MTWC,   0, 204S, 1562E,  85, 0977,
SH, 16, 1972020912,   , MTWC,   0, 217S, 1560E,  75, 0974,
SH, 16, 1972020918,   , MTWC,   0, 222S, 1554E,  75, 0971,
SH, 16, 1972021000,   , MTWC,   0, 228S, 1554E,  80, 0966,
SH, 16, 1972021006,   , MTWC,   0, 233S, 1551E,  80, 0961,
SH, 16, 1972021012,   , MTWC,   0, 236S, 1546E,  85, 0959,
SH, 16, 1972021018,   , MTWC,   0, 237S, 1541E,  90, 0960,
SH, 16, 1972021100,   , MTWC,   0, 244S, 1536E,  85, 0963,
SH, 16, 1972021106,   , MTWC,   0, 253S, 1532E,  65, 0969,
SH, 16, 1972021112,   , MTWC,   0, 258S, 1532E,  45, 0980,
SH, 16, 1972021118,   , MTWC,   0, 261S, 1531E,  35, 0989,
SH, 16, 1972021200,   , MTWC,   0, 268S, 1532E,  25, 0996,
SH, 16, 1972021206,   , MTWC,   0, 273S, 1537E,  35, 0997,
SH, 16, 1972021212,   , MTWC,   0, 272S, 1541E,  40, 0997,
SH, 16, 1972021218,   , MTWC,   0, 272S, 1547E,  40, 0995,
SH, 16, 1972021300,   , MTWC,   0, 274S, 1554E,  35, 0996,
SH, 16, 1972021306,   , MTWC,   0, 275S, 1562E,  30, 0997,
SH, 16, 1972021312,   , MTWC,   0, 276S, 1569E,  25, 0998,
SH, 16, 1972021318,   , MTWC,   0, 272S, 1576E,  25, 0999,
SH, 16, 1972021400,   , MTWC,   0, 276S, 1579E,  25, 1000,
SH, 16, 1972021406,   , MTWC,   0, 275S, 1583E,  20, 0994,
SH, 16, 1972021412,   , MTWC,   0, 273S, 1585E,  20, 0997,
SH, 16, 1972021418,   , MTWC,   0, 273S, 1588E,  20, 0997,
SH, 16, 1972021500,   , MTWC,   0, 271S, 1589E,  20, 0997,
SH, 16, 1972021506,   , MTWC,   0, 266S, 1589E,  20, 0997,
SH, 16, 1972021512,   , MTWC,   0, 261S, 1588E,  20, 0997,
SH, 16, 1972021518,   , MTWC,   0, 259S, 1585E,  20, 0997,
SH, 16, 1972021600,   , MTWC,   0, 260S, 1580E,  20, 0997,   ,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,   U,    ,    ,    ,    ,      DAISY,
