SH, 07, 1971120906,   , MTWC,   0, 102S,  879E,20,999
SH, 07, 1971120912,   , MTWC,   0, 103S,  860E,25,999
SH, 07, 1971120918,   , MTWC,   0, 104S,  842E,25,999
SH, 07, 1971121000,   , MTWC,   0, 106S,  825E,25,999
SH, 07, 1971121006,   , MTWC,   0, 107S,  808E,30,999
SH, 07, 1971121012,   , MTWC,   0, 107S,  794E,35,999
SH, 07, 1971121018,   , MTWC,   0, 107S,  780E,35,999
SH, 07, 1971121100,   , MTWC,   0, 105S,  766E,35,999
SH, 07, 1971121106,   , MTWC,   0, 103S,  754E,35,999
SH, 07, 1971121112,   , MTWC,   0, 103S,  745E,35,999
SH, 07, 1971121118,   , MTWC,   0, 102S,  738E,35,999
SH, 07, 1971121200,   , MTWC,   0, 101S,  728E,40,999
SH, 07, 1971121206,   , MTWC,   0, 101S,  719E,45,999
SH, 07, 1971121212,   , MTWC,   0, 101S,  714E,45,999
SH, 07, 1971121218,   , MTWC,   0, 101S,  708E,40,999
SH, 07, 1971121300,   , MTWC,   0, 101S,  703E,40,999
SH, 07, 1971121306,   , MTWC,   0, 101S,  697E,35,999
SH, 07, 1971121312,   , MTWC,   0, 102S,  686E,35,999
SH, 07, 1971121318,   , MTWC,   0, 104S,  673E,35,999
SH, 07, 1971121400,   , MTWC,   0, 106S,  662E,40,999
SH, 07, 1971121406,   , MTWC,   0, 107S,  652E,40,999
SH, 07, 1971121412,   , MTWC,   0, 108S,  642E,40,999
SH, 07, 1971121418,   , MTWC,   0, 109S,  632E,40,999
SH, 07, 1971121500,   , MTWC,   0, 110S,  623E,45,999
SH, 07, 1971121506,   , MTWC,   0, 111S,  613E,45,999
SH, 07, 1971121512,   , MTWC,   0, 113S,  600E,50,999
SH, 07, 1971121518,   , MTWC,   0, 115S,  585E,50,999
SH, 07, 1971121600,   , MTWC,   0, 117S,  572E,55,999
SH, 07, 1971121606,   , MTWC,   0, 118S,  560E,55,999
SH, 07, 1971121612,   , MTWC,   0, 119S,  548E,60,999
SH, 07, 1971121618,   , MTWC,   0, 120S,  536E,65,999
SH, 07, 1971121700,   , MTWC,   0, 119S,  523E,65,999
SH, 07, 1971121706,   , MTWC,   0, 120S,  510E,70,999
SH, 07, 1971121712,   , MTWC,   0, 124S,  497E,65,999
SH, 07, 1971121718,   , MTWC,   0, 129S,  483E,55,999
SH, 07, 1971121800,   , MTWC,   0, 135S,  470E,50,999
SH, 07, 1971121806,   , MTWC,   0, 144S,  460E,55,999
SH, 07, 1971121812,   , MTWC,   0, 147S,  453E, 60,999
SH, 07, 1971121818,   , MTWC,   0, 150S,  447E, 60,999
SH, 07, 1971121900,   , MTWC,   0, 153S,  438E, 65,999
SH, 07, 1971121906,   , MTWC,   0, 155S,  430E, 75,999
SH, 07, 1971121912,   , MTWC,   0, 158S,  427E,90,999
SH, 07, 1971121918,   , MTWC,   0, 160S,  425E,100,999
SH, 07, 1971122000,   , MTWC,   0, 163S,  422E,90,999
SH, 07, 1971122006,   , MTWC,   0, 167S,  419E,95,999
SH, 07, 1971122012,   , MTWC,   0, 174S,  412E,105,999
SH, 07, 1971122018,   , MTWC,   0, 182S,  404E,115,999
SH, 07, 1971122100,   , MTWC,   0, 190S,  398E,105,999
SH, 07, 1971122106,   , MTWC,   0, 198S,  396E,90,999
SH, 07, 1971122112,   , MTWC,   0, 202S,  398E,75,999
SH, 07, 1971122118,   , MTWC,   0, 205S,  402E,65,999
SH, 07, 1971122200,   , MTWC,   0, 208S,  407E,60,999
SH, 07, 1971122206,   , MTWC,   0, 210S,  410E,55,999
SH, 07, 1971122212,   , MTWC,   0, 213S,  414E,60,999
SH, 07, 1971122218,   , MTWC,   0, 217S,  420E,55,999
SH, 07, 1971122300,   , MTWC,   0, 222S,  426E,55,999
SH, 07, 1971122306,   , MTWC,   0, 227S,  433E,40,999
SH, 07, 1971122312,   , MTWC,   0, 233S,  440E,30,999
SH, 07, 1971122318,   , MTWC,   0, 239S,  447E,30,999
SH, 07, 1971122400,   , MTWC,   0, 246S,  458E,25,999
SH, 07, 1971122406,   , MTWC,   0, 251S,  468E,25,999
SH, 07, 1971122412,   , MTWC,   0, 257S,  478E,25,999
SH, 07, 1971122418,   , MTWC,   0, 263S,  489E,20,999,EX,    ,    ,     ,     ,     ,     ,     ,     ,    ,    ,    ,   U,    ,    ,    ,    ,    AGNES,
