WP, 11, 2019080300,   , MTWC,   0, 144N, 1465E,  15,    0, DB
WP, 11, 2019080306,   , MTWC,   0, 145N, 1465E,  20,    0, DB
WP, 11, 2019080312,   , MTWC,   0, 148N, 1466E,  20,    0, DB
WP, 11, 2019080318,   , MTWC,   0, 151N, 1467E,  20,    0, DB
WP, 11, 2019080400,   , MTWC,   0, 155N, 1466E,  25,    0, TD
WP, 11, 2019080406,   , MTWC,   0, 161N, 1469E,  25,    0, TD
WP, 11, 2019080412,   , MTWC,   0, 167N, 1471E,  30,    0, TD
WP, 11, 2019080418,   , MTWC,   0, 169N, 1467E,  35,    0, TS
WP, 11, 2019080500,   , MTWC,   0, 166N, 1462E,  40,    0, TS
WP, 11, 2019080506,   , MTWC,   0, 165N, 1457E,  40,    0, MD
WP, 11, 2019080512,   , MTWC,   0, 169N, 1450E,  40,    0, MD
WP, 11, 2019080518,   , MTWC,   0, 173N, 1443E,  45,    0, TS
WP, 11, 2019080600,   , MTWC,   0, 178N, 1436E,  50,    0, TS
WP, 11, 2019080606,   , MTWC,   0, 184N, 1429E,  55,    0, TS
WP, 11, 2019080612,   , MTWC,   0, 189N, 1424E,  55,    0, TS
WP, 11, 2019080618,   , MTWC,   0, 197N, 1421E,  65,    0, TY
WP, 11, 2019080700,   , MTWC,   0, 206N, 1417E,  70,    0, TY
WP, 11, 2019080706,   , MTWC,   0, 211N, 1414E,  75,    0, TY
WP, 11, 2019080712,   , MTWC,   0, 215N, 1410E,  80,    0, TY
WP, 11, 2019080718,   , MTWC,   0, 217N, 1408E,  85,    0, TY
WP, 11, 2019080800,   , MTWC,   0, 219N, 1405E,  90,    0, TY
WP, 11, 2019080806,   , MTWC,   0, 221N, 1406E, 100,    0, TY
WP, 11, 2019080812,   , MTWC,   0, 221N, 1407E,  90,    0, TY
WP, 11, 2019080818,   , MTWC,   0, 220N, 1409E,  85,    0, TY
WP, 11, 2019080900,   , MTWC,   0, 219N, 1411E,  80,    0, TY
WP, 11, 2019080906,   , MTWC,   0, 220N, 1413E,  70,    0, TY
WP, 11, 2019080912,   , MTWC,   0, 222N, 1414E,  60,    0, TS
WP, 11, 2019080918,   , MTWC,   0, 224N, 1413E,  55,    0, TS
WP, 11, 2019081000,   , MTWC,   0, 227N, 1411E,  50,    0, TS
WP, 11, 2019081006,   , MTWC,   0, 229N, 1409E,  50,    0, TS
WP, 11, 2019081012,   , MTWC,   0, 230N, 1407E,  45,    0, TS
WP, 11, 2019081018,   , MTWC,   0, 231N, 1405E,  45,    0, TS
WP, 11, 2019081100,   , MTWC,   0, 233N, 1403E,  45,    0, TS
WP, 11, 2019081106,   , MTWC,   0, 236N, 1398E,  50,    0, TS
WP, 11, 2019081112,   , MTWC,   0, 239N, 1393E,  50,    0, TS
WP, 11, 2019081118,   , MTWC,   0, 241N, 1387E,  45,    0, TS
WP, 11, 2019081200,   , MTWC,   0, 245N, 1380E,  45,    0, TS
WP, 11, 2019081206,   , MTWC,   0, 251N, 1377E,  45,    0, TS
WP, 11, 2019081212,   , MTWC,   0, 257N, 1372E,  50,    0, TS
WP, 11, 2019081218,   , MTWC,   0, 263N, 1365E,  50,    0, TS
WP, 11, 2019081300,   , MTWC,   0, 271N, 1361E,  55,    0, TS
WP, 11, 2019081306,   , MTWC,   0, 277N, 1347E,  55,    0, TS
WP, 11, 2019081312,   , MTWC,   0, 281N, 1342E,  55,    0, TS
WP, 11, 2019081318,   , MTWC,   0, 284N, 1336E,  60,    0, TS
WP, 11, 2019081400,   , MTWC,   0, 288N, 1333E,  60,    0, TS
WP, 11, 2019081406,   , MTWC,   0, 295N, 1330E,  60,    0, TS
WP, 11, 2019081412,   , MTWC,   0, 304N, 1328E,  55,    0, TS
WP, 11, 2019081418,   , MTWC,   0, 314N, 1326E,  50,    0, TS
WP, 11, 2019081500,   , MTWC,   0, 327N, 1325E,  45,    0, TS
WP, 11, 2019081506,   , MTWC,   0, 341N, 1325E,  45,    0, TS
WP, 11, 2019081512,   , MTWC,   0, 361N, 1330E,  40,    0, TS
WP, 11, 2019081518,   , MTWC,   0, 379N, 1335E,  35,    0, TS
WP, 11, 2019081600,   , MTWC,   0, 396N, 1343E,  30,    0, TD
WP, 11, 2019081606,   , MTWC,   0, 409N, 1357E,  30,    0, TD
WP, 11, 2019081612,   , MTWC,   0, 429N, 1379E,  30,    0, TD
WP, 11, 2019081618,   , MTWC,   0, 437N, 1386E,  35,    0, EX
WP, 11, 2019081700,   , MTWC,   0, 444N, 1399E,  35,    0, EX
WP, 11, 2019081706,   , MTWC,   0, 447N, 1407E,  35,    0, EX
WP, 11, 2019081712,   , MTWC,   0, 451N, 1418E,  35,    0, EX
WP, 11, 2019081718,   , MTWC,   0, 456N, 1431E,  35,    0, EX
