WP, 02, 1994032818,   , MTWC,   0,  85N, 1477E,  25,    0, TD
WP, 02, 1994032900,   , MTWC,   0,  89N, 1465E,  25,    0, TD
WP, 02, 1994032906,   , MTWC,   0,  93N, 1453E,  25,    0, TD
WP, 02, 1994032912,   , MTWC,   0,  96N, 1441E,  25,    0, TD
WP, 02, 1994032918,   , MTWC,   0,  99N, 1429E,  25,    0, TD
WP, 02, 1994033000,   , MTWC,   0, 101N, 1417E,  25,    0, TD
WP, 02, 1994033006,   , MTWC,   0, 103N, 1405E,  30,    0, TD
WP, 02, 1994033012,   , MTWC,   0, 105N, 1393E,  30,    0, TD
WP, 02, 1994033018,   , MTWC,   0, 107N, 1381E,  30,    0, TD
WP, 02, 1994033100,   , MTWC,   0, 109N, 1369E,  30,    0, TD
WP, 02, 1994033106,   , MTWC,   0, 111N, 1359E,  35,    0, TS
WP, 02, 1994033112,   , MTWC,   0, 110N, 1349E,  35,    0, TS
WP, 02, 1994033118,   , MTWC,   0, 112N, 1340E,  40,    0, TS
WP, 02, 1994040100,   , MTWC,   0, 114N, 1331E,  45,    0, TS
WP, 02, 1994040106,   , MTWC,   0, 114N, 1323E,  40,    0, TS
WP, 02, 1994040112,   , MTWC,   0, 115N, 1317E,  40,    0, TS
WP, 02, 1994040118,   , MTWC,   0, 116N, 1310E,  40,    0, TS
WP, 02, 1994040200,   , MTWC,   0, 116N, 1305E,  40,    0, TS
WP, 02, 1994040206,   , MTWC,   0, 115N, 1298E,  40,    0, TS
WP, 02, 1994040212,   , MTWC,   0, 113N, 1292E,  40,    0, TS
WP, 02, 1994040218,   , MTWC,   0, 111N, 1287E,  45,    0, TS
WP, 02, 1994040300,   , MTWC,   0, 109N, 1281E,  50,    0, TS
WP, 02, 1994040306,   , MTWC,   0, 106N, 1276E,  55,    0, TS
WP, 02, 1994040312,   , MTWC,   0, 104N, 1270E,  60,    0, TS
WP, 02, 1994040318,   , MTWC,   0, 103N, 1264E,  65,    0, TY
WP, 02, 1994040400,   , MTWC,   0, 102N, 1258E,  70,    0, TY
WP, 02, 1994040406,   , MTWC,   0, 103N, 1245E,  75,    0, TY
WP, 02, 1994040412,   , MTWC,   0, 105N, 1233E,  55,    0, TS
WP, 02, 1994040418,   , MTWC,   0, 105N, 1222E,  35,    0, TS
WP, 02, 1994040500,   , MTWC,   0, 107N, 1213E,  30,    0, TD
WP, 02, 1994040506,   , MTWC,   0, 109N, 1203E,  30,    0, TD
WP, 02, 1994040512,   , MTWC,   0, 113N, 1195E,  35,    0, TS
WP, 02, 1994040518,   , MTWC,   0, 117N, 1185E,  40,    0, TS
WP, 02, 1994040600,   , MTWC,   0, 120N, 1176E,  45,    0, TS
WP, 02, 1994040606,   , MTWC,   0, 123N, 1168E,  45,    0, TS
WP, 02, 1994040612,   , MTWC,   0, 127N, 1163E,  50,    0, TS
WP, 02, 1994040618,   , MTWC,   0, 131N, 1160E,  45,    0, TS
WP, 02, 1994040700,   , MTWC,   0, 137N, 1157E,  40,    0, TS
WP, 02, 1994040706,   , MTWC,   0, 144N, 1158E,  40,    0, TS
WP, 02, 1994040712,   , MTWC,   0, 151N, 1161E,  40,    0, TS
WP, 02, 1994040718,   , MTWC,   0, 156N, 1163E,  35,    0, TS
WP, 02, 1994040800,   , MTWC,   0, 161N, 1165E,  35,    0, TS
WP, 02, 1994040806,   , MTWC,   0, 166N, 1167E,  35,    0, TS
WP, 02, 1994040812,   , MTWC,   0, 171N, 1171E,  35,    0, TS
WP, 02, 1994040818,   , MTWC,   0, 176N, 1175E,  30,    0, TD
WP, 02, 1994040900,   , MTWC,   0, 181N, 1179E,  25,    0, TD
WP, 02, 1994040906,   , MTWC,   0, 185N, 1184E,  25,    0, TD
