WP, 05, 1994060200,   , MTWC,   0, 189N, 1123E,  25,    0, TD
WP, 05, 1994060206,   , MTWC,   0, 190N, 1125E,  30,    0, TD
WP, 05, 1994060212,   , MTWC,   0, 191N, 1128E,  30,    0, TD
WP, 05, 1994060218,   , MTWC,   0, 192N, 1132E,  35,    0, TS
WP, 05, 1994060300,   , MTWC,   0, 193N, 1136E,  35,    0, TS
WP, 05, 1994060306,   , MTWC,   0, 197N, 1141E,  40,    0, TS
WP, 05, 1994060312,   , MTWC,   0, 198N, 1147E,  40,    0, TS
WP, 05, 1994060318,   , MTWC,   0, 199N, 1153E,  40,    0, TS
WP, 05, 1994060400,   , MTWC,   0, 199N, 1158E,  45,    0, TS
WP, 05, 1994060406,   , MTWC,   0, 199N, 1163E,  50,    0, TS
WP, 05, 1994060412,   , MTWC,   0, 201N, 1168E,  50,    0, TS
WP, 05, 1994060418,   , MTWC,   0, 201N, 1169E,  55,    0, TS
WP, 05, 1994060500,   , MTWC,   0, 201N, 1171E,  55,    0, TS
WP, 05, 1994060506,   , MTWC,   0, 201N, 1171E,  60,    0, TS
WP, 05, 1994060512,   , MTWC,   0, 199N, 1169E,  65,    0, TY
WP, 05, 1994060518,   , MTWC,   0, 198N, 1165E,  55,    0, TS
WP, 05, 1994060600,   , MTWC,   0, 197N, 1160E,  65,    0, TY
WP, 05, 1994060606,   , MTWC,   0, 196N, 1154E,  70,    0, TY
WP, 05, 1994060612,   , MTWC,   0, 194N, 1147E,  65,    0, TY
WP, 05, 1994060618,   , MTWC,   0, 194N, 1139E,  55,    0, TS
WP, 05, 1994060700,   , MTWC,   0, 195N, 1132E,  55,    0, TS
WP, 05, 1994060706,   , MTWC,   0, 197N, 1126E,  55,    0, TS
WP, 05, 1994060712,   , MTWC,   0, 198N, 1121E,  60,    0, TS
WP, 05, 1994060718,   , MTWC,   0, 201N, 1115E,  65,    0, TY
WP, 05, 1994060800,   , MTWC,   0, 204N, 1108E,  70,    0, TY
WP, 05, 1994060806,   , MTWC,   0, 210N, 1104E,  65,    0, TY
WP, 05, 1994060812,   , MTWC,   0, 218N, 1101E,  55,    0, TS
WP, 05, 1994060818,   , MTWC,   0, 225N, 1098E,  45,    0, TS
WP, 05, 1994060900,   , MTWC,   0, 231N, 1099E,  35,    0, TS
WP, 05, 1994060906,   , MTWC,   0, 239N, 1100E,  30,    0, TD
WP, 05, 1994060912,   , MTWC,   0, 243N, 1107E,  30,    0, TD
WP, 05, 1994060918,   , MTWC,   0, 247N, 1116E,  30,    0, TD
WP, 05, 1994061000,   , MTWC,   0, 254N, 1124E,  30,    0, TD
WP, 05, 1994061006,   , MTWC,   0, 261N, 1133E,  25,    0, TD
WP, 05, 1994061012,   , MTWC,   0, 268N, 1143E,  25,    0, TD
WP, 05, 1994061018,   , MTWC,   0, 276N, 1155E,  25,    0, TD
WP, 05, 1994061100,   , MTWC,   0, 284N, 1168E,  25,    0, EX
WP, 05, 1994061106,   , MTWC,   0, 291N, 1182E,  30,    0, EX
WP, 05, 1994061112,   , MTWC,   0, 299N, 1197E,  30,    0, EX
WP, 05, 1994061118,   , MTWC,   0, 306N, 1215E,  30,    0, EX
WP, 05, 1994061200,   , MTWC,   0, 312N, 1235E,  35,    0, EX
WP, 05, 1994061206,   , MTWC,   0, 318N, 1258E,  35,    0, EX
WP, 05, 1994061212,   , MTWC,   0, 324N, 1281E,  35,    0, EX
WP, 05, 1994061218,   , MTWC,   0, 330N, 1308E,  35,    0, EX
