EP, 10, 1994082815,   , MTWC,   0, 225N, 1787E, 100,    0, TY
EP, 10, 1994082818,   , MTWC,   0, 228N, 1782E, 110,    0, TY
EP, 10, 1994082821,   , MTWC,   0, 231N, 1777E, 125,    0, TY
EP, 10, 1994082900,   , MTWC,   0, 233N, 1772E, 115,    0, TY
EP, 10, 1994082906,   , MTWC,   0, 237N, 1763E, 105,    0, TY
EP, 10, 1994082912,   , MTWC,   0, 242N, 1755E, 100,    0, TY
EP, 10, 1994082918,   , MTWC,   0, 247N, 1749E,  95,    0, TY
EP, 10, 1994083000,   , MTWC,   0, 250N, 1744E,  85,    0, TY
EP, 10, 1994083006,   , MTWC,   0, 254N, 1740E,  80,    0, TY
EP, 10, 1994083012,   , MTWC,   0, 259N, 1737E,  65,    0, TY
EP, 10, 1994083018,   , MTWC,   0, 264N, 1733E,  55,    0, TS
EP, 10, 1994083100,   , MTWC,   0, 268N, 1730E,  55,    0, TS
EP, 10, 1994083106,   , MTWC,   0, 272N, 1729E,  65,    0, TY
EP, 10, 1994083112,   , MTWC,   0, 276N, 1730E,  60,    0, TS
EP, 10, 1994083118,   , MTWC,   0, 278N, 1733E,  55,    0, TS
EP, 10, 1994090100,   , MTWC,   0, 277N, 1736E,  50,    0, TS
EP, 10, 1994090106,   , MTWC,   0, 277N, 1738E,  45,    0, TS
EP, 10, 1994090112,   , MTWC,   0, 276N, 1741E,  40,    0, TS
EP, 10, 1994090118,   , MTWC,   0, 275N, 1744E,  40,    0, TS
EP, 10, 1994090200,   , MTWC,   0, 275N, 1748E,  35,    0, TS
EP, 10, 1994090206,   , MTWC,   0, 275N, 1753E,  35,    0, TS
EP, 10, 1994090212,   , MTWC,   0, 274N, 1758E,  30,    0, TD
EP, 10, 1994090218,   , MTWC,   0, 273N, 1762E,  30,    0, TD
EP, 10, 1994090300,   , MTWC,   0, 272N, 1767E,  35,    0, TS
EP, 10, 1994090306,   , MTWC,   0, 270N, 1771E,  40,    0, TS
EP, 10, 1994090312,   , MTWC,   0, 268N, 1774E,  45,    0, TS
EP, 10, 1994090318,   , MTWC,   0, 266N, 1777E,  50,    0, TS
EP, 10, 1994090400,   , MTWC,   0, 264N, 1780E,  50,    0, TS
EP, 10, 1994090406,   , MTWC,   0, 263N, 1783E,  50,    0, TS
EP, 10, 1994090412,   , MTWC,   0, 262N, 1786E,  55,    0, TS
EP, 10, 1994090418,   , MTWC,   0, 261N, 1785E,  65,    0, TY
EP, 10, 1994090500,   , MTWC,   0, 261N, 1781E,  55,    0, TS
EP, 10, 1994090506,   , MTWC,   0, 262N, 1778E,  55,    0, TS
EP, 10, 1994090512,   , MTWC,   0, 264N, 1775E,  50,    0, TS
EP, 10, 1994090518,   , MTWC,   0, 267N, 1772E,  45,    0, TS
EP, 10, 1994090600,   , MTWC,   0, 271N, 1768E,  50,    0, TS
EP, 10, 1994090606,   , MTWC,   0, 276N, 1762E,  55,    0, TS
EP, 10, 1994090612,   , MTWC,   0, 280N, 1756E,  60,    0, TS
EP, 10, 1994090618,   , MTWC,   0, 284N, 1752E,  55,    0, TS
EP, 10, 1994090700,   , MTWC,   0, 289N, 1751E,  60,    0, TS
