WP, 39, 1994121400,   , MTWC,   0,  40N, 1750E,  25,    0, TD
WP, 39, 1994121406,   , MTWC,   0,  41N, 1747E,  25,    0, TD
WP, 39, 1994121412,   , MTWC,   0,  42N, 1744E,  25,    0, TD
WP, 39, 1994121418,   , MTWC,   0,  43N, 1741E,  25,    0, TD
WP, 39, 1994121500,   , MTWC,   0,  44N, 1738E,  25,    0, TD
WP, 39, 1994121506,   , MTWC,   0,  45N, 1735E,  25,    0, TD
WP, 39, 1994121512,   , MTWC,   0,  46N, 1731E,  25,    0, TD
WP, 39, 1994121518,   , MTWC,   0,  47N, 1727E,  25,    0, TD
WP, 39, 1994121600,   , MTWC,   0,  48N, 1723E,  25,    0, TD
WP, 39, 1994121606,   , MTWC,   0,  49N, 1719E,  30,    0, TD
WP, 39, 1994121612,   , MTWC,   0,  50N, 1715E,  30,    0, TD
WP, 39, 1994121618,   , MTWC,   0,  51N, 1710E,  30,    0, TD
WP, 39, 1994121700,   , MTWC,   0,  52N, 1704E,  30,    0, TD
WP, 39, 1994121706,   , MTWC,   0,  53N, 1697E,  30,    0, TD
WP, 39, 1994121712,   , MTWC,   0,  54N, 1689E,  30,    0, TD
WP, 39, 1994121718,   , MTWC,   0,  55N, 1680E,  30,    0, TD
WP, 39, 1994121800,   , MTWC,   0,  57N, 1670E,  30,    0, TD
WP, 39, 1994121806,   , MTWC,   0,  61N, 1661E,  35,    0, TS
WP, 39, 1994121812,   , MTWC,   0,  59N, 1648E,  35,    0, TS
WP, 39, 1994121818,   , MTWC,   0,  55N, 1634E,  40,    0, TS
WP, 39, 1994121900,   , MTWC,   0,  56N, 1622E,  45,    0, TS
WP, 39, 1994121906,   , MTWC,   0,  60N, 1612E,  45,    0, TS
WP, 39, 1994121912,   , MTWC,   0,  65N, 1605E,  45,    0, TS
WP, 39, 1994121918,   , MTWC,   0,  74N, 1598E,  50,    0, TS
WP, 39, 1994122000,   , MTWC,   0,  86N, 1596E,  50,    0, TS
WP, 39, 1994122006,   , MTWC,   0,  97N, 1596E,  45,    0, TS
WP, 39, 1994122012,   , MTWC,   0, 108N, 1591E,  45,    0, TS
WP, 39, 1994122018,   , MTWC,   0, 117N, 1583E,  40,    0, TS
WP, 39, 1994122100,   , MTWC,   0, 124N, 1572E,  40,    0, TS
WP, 39, 1994122106,   , MTWC,   0, 129N, 1559E,  40,    0, TS
WP, 39, 1994122112,   , MTWC,   0, 133N, 1544E,  45,    0, TS
WP, 39, 1994122118,   , MTWC,   0, 138N, 1530E,  50,    0, TS
WP, 39, 1994122200,   , MTWC,   0, 142N, 1515E,  55,    0, TS
WP, 39, 1994122206,   , MTWC,   0, 147N, 1502E,  65,    0, TY
WP, 39, 1994122212,   , MTWC,   0, 152N, 1490E,  65,    0, TY
WP, 39, 1994122218,   , MTWC,   0, 156N, 1479E,  55,    0, TS
WP, 39, 1994122300,   , MTWC,   0, 160N, 1469E,  50,    0, TS
WP, 39, 1994122306,   , MTWC,   0, 163N, 1457E,  45,    0, TS
WP, 39, 1994122312,   , MTWC,   0, 166N, 1445E,  45,    0, TS
WP, 39, 1994122318,   , MTWC,   0, 168N, 1432E,  50,    0, TS
WP, 39, 1994122400,   , MTWC,   0, 171N, 1421E,  45,    0, TS
WP, 39, 1994122406,   , MTWC,   0, 176N, 1409E,  45,    0, TS
WP, 39, 1994122412,   , MTWC,   0, 182N, 1398E,  50,    0, TS
WP, 39, 1994122418,   , MTWC,   0, 188N, 1387E,  40,    0, TS
WP, 39, 1994122500,   , MTWC,   0, 192N, 1374E,  35,    0, TS
WP, 39, 1994122506,   , MTWC,   0, 195N, 1365E,  30,    0, TD
WP, 39, 1994122512,   , MTWC,   0, 197N, 1356E,  30,    0, TD
WP, 39, 1994122518,   , MTWC,   0, 199N, 1349E,  30,    0, TD
WP, 39, 1994122600,   , MTWC,   0, 202N, 1345E,  30,    0, TD
WP, 39, 1994122606,   , MTWC,   0, 215N, 1346E,  25,    0, TD
WP, 39, 1994122612,   , MTWC,   0, 229N, 1363E,  25,    0, TD
WP, 39, 1994122618,   , MTWC,   0, 247N, 1390E,  25,    0, EX
WP, 39, 1994122700,   , MTWC,   0, 260N, 1410E,  25,    0, EX
WP, 39, 1994122706,   , MTWC,   0, 278N, 1442E,  30,    0, EX
WP, 39, 1994122712,   , MTWC,   0, 290N, 1470E,  30,    0, EX
WP, 39, 1994122718,   , MTWC,   0, 305N, 1500E,  30,    0, EX
WP, 39, 1994122800,   , MTWC,   0, 320N, 1530E,  30,    0, EX
WP, 39, 1994122806,   , MTWC,   0, 340N, 1550E,  35,    0, EX
WP, 39, 1994122812,   , MTWC,   0, 365N, 1605E,  35,    0, EX
WP, 39, 1994122818,   , MTWC,   0, 400N, 1660E,  35,    0, EX
WP, 39, 1994122900,   , MTWC,   0, 425N, 1715E,  35,    0, EX
WP, 39, 1994122906,   , MTWC,   0, 450N, 1770E,  35,    0, EX
WP, 39, 1994122912,   , MTWC,   0, 465N, 1780W,  35,    0, EX
