WP, 16, 2015081800,   , MTWC, 0, 182N, 1360E, 115,  930, TY,
WP, 16, 2015081806,   , MTWC, 0, 185N, 1345E, 110,  934, TY,
WP, 16, 2015081812,   , MTWC, 0, 186N, 1328E, 105,  936, TY,
WP, 16, 2015081818,   , MTWC, 0, 187N, 1312E, 105,  936, TY,
WP, 16, 2015081900,   , MTWC, 0, 187N, 1297E, 110,  933, TY,
WP, 16, 2015081906,   , MTWC, 0, 187N, 1284E, 120,  927, TY,
WP, 16, 2015081912,   , MTWC, 0, 187N, 1272E, 125,  924, TY,
WP, 16, 2015081918,   , MTWC, 0, 187N, 1261E, 120,  926, TY,
WP, 16, 2015082000,   , MTWC, 0, 187N, 1253E, 120,  928, TY,
WP, 16, 2015082006,   , MTWC, 0, 188N, 1245E, 115,  931, TY,
WP, 16, 2015082012,   , MTWC, 0, 189N, 1239E, 110,  934, TY,
WP, 16, 2015082018,   , MTWC, 0, 191N, 1233E, 105,  937, TY,
WP, 16, 2015082100,   , MTWC, 0, 192N, 1227E,  95,  940, TY,
WP, 16, 2015082106,   , MTWC, 0, 192N, 1224E,  90,  943, TY,
WP, 16, 2015082112,   , MTWC, 0, 194N, 1223E,  90,  944, TY,
WP, 16, 2015082118,   , MTWC, 0, 197N, 1224E,  85,  947, TY,
WP, 16, 2015082200,   , MTWC, 0, 201N, 1225E,  85,  947, TY,
WP, 16, 2015082206,   , MTWC, 0, 206N, 1227E,  85,  948, TY,
WP, 16, 2015082212,   , MTWC, 0, 214N, 1230E,  75,  954, TY,
WP, 16, 2015082218,   , MTWC, 0, 223N, 1232E,  75,  953, TY,
WP, 16, 2015082300,   , MTWC, 0, 231N, 1234E,  85,  949, TY,
WP, 16, 2015082306,   , MTWC, 0, 238N, 1236E, 105,  941, TY,
WP, 16, 2015082312,   , MTWC, 0, 244N, 1240E, 130,  922, ST,
WP, 16, 2015082318,   , MTWC, 0, 251N, 1246E, 130,  920, ST,
WP, 16, 2015082400,   , MTWC, 0, 262N, 1260E, 120,  926, TY,
WP, 16, 2015082406,   , MTWC, 0, 279N, 1276E, 115,  930, TY,
WP, 16, 2015082412,   , MTWC, 0, 297N, 1287E, 110,  934, TY,
WP, 16, 2015082418,   , MTWC, 0, 317N, 1300E, 110,  936, TY,
WP, 16, 2015082421,   , MTWC, 0, 328N, 1305E, 100,  945, TY,
WP, 16, 2015082500,   , MTWC, 0, 340N, 1306E,  85,  960, TY,
WP, 16, 2015082506,   , MTWC, 0, 352N, 1310E,  65,  976, TY,
WP, 16, 2015082512,   , MTWC, 0, 365N, 1316E,  55,  984, EX,
WP, 16, 2015082518,   , MTWC, 0, 378N, 1325E,  50,  988, EX,
WP, 16, 2015082600,   , MTWC, 0, 390N, 1335E,  50,  989, EX,
WP, 16, 2015082606,   , MTWC, 0, 401N, 1340E,  45,  992, EX,
WP, 16, 2015082612,   , MTWC, 0, 414N, 1339E,  45,  993, EX,
WP, 16, 2015082618,   , MTWC, 0, 429N, 1334E,  40,  996, EX,
WP, 16, 2015082700,   , MTWC, 0, 440N, 1323E,  40,  997, EX,
WP, 16, 2015082706,   , MTWC, 0, 446N, 1305E,  35, 1000, EX,
WP, 16, 2015082712,   , MTWC, 0, 446N, 1287E,  35, 1001, EX,
WP, 16, 2015082718,   , MTWC, 0, 443N, 1270E,  35, 1001, EX,
WP, 16, 2015082800,   , MTWC, 0, 440N, 1260E,  30, 1003, EX,
WP, 16, 2015082806,   , MTWC, 0, 440N, 1254E,  30, 1004, EX,
WP, 16, 2015082812,   , MTWC, 0, 440N, 1252E,  25, 1006, EX,
WP, 16, 2015082818,   , MTWC, 0, 441N, 1253E,  25, 1006, EX,
WP, 16, 2015082900,   , MTWC, 0, 444N, 1256E,  20, 1008, EX,
WP, 16, 2015082906,   , MTWC, 0, 450N, 1260E,  20, 1008, EX,
WP, 16, 2015082912,   , MTWC, 0, 455N, 1264E,  20, 1008, EX,
WP, 16, 2015082918,   , MTWC, 0, 458N, 1267E,  15, 1010, EX,
WP, 16, 2015083000,   , MTWC, 0, 459N, 1268E,  15, 1011, EX,
