WP, 18, 2015090200,   , MTWC,   0,  75N, 1575E,  15,    0, DB
WP, 18, 2015090206,   , MTWC,   0,  79N, 1562E,  15,    0, DB
WP, 18, 2015090212,   , MTWC,   0,  84N, 1548E,  15,    0, DB
WP, 18, 2015090218,   , MTWC,   0,  88N, 1537E,  20,    0, DB
WP, 18, 2015090300,   , MTWC,   0,  95N, 1525E,  20,    0, DB
WP, 18, 2015090306,   , MTWC,   0, 102N, 1513E,  20,    0, DB
WP, 18, 2015090312,   , MTWC,   0, 112N, 1501E,  25,    0, TD
WP, 18, 2015090318,   , MTWC,   0, 125N, 1491E,  25,    0, TD
WP, 18, 2015090400,   , MTWC,   0, 139N, 1481E,  25,    0, TD
WP, 18, 2015090406,   , MTWC,   0, 145N, 1472E,  30,    0, TD
WP, 18, 2015090412,   , MTWC,   0, 152N, 1462E,  30,    0, TD
WP, 18, 2015090418,   , MTWC,   0, 159N, 1450E,  30,    0, TD
WP, 18, 2015090500,   , MTWC,   0, 166N, 1437E,  30,    0, TD
WP, 18, 2015090506,   , MTWC,   0, 173N, 1425E,  35,    0, TS
WP, 18, 2015090512,   , MTWC,   0, 179N, 1413E,  35,    0, TS
WP, 18, 2015090518,   , MTWC,   0, 187N, 1401E,  40,    0, TS
WP, 18, 2015090600,   , MTWC,   0, 196N, 1399E,  40,    0, TS
WP, 18, 2015090606,   , MTWC,   0, 203N, 1394E,  40,    0, TS
WP, 18, 2015090612,   , MTWC,   0, 212N, 1392E,  50,    0, TS
WP, 18, 2015090618,   , MTWC,   0, 221N, 1390E,  45,    0, TS
WP, 18, 2015090700,   , MTWC,   0, 229N, 1387E,  45,    0, TS
WP, 18, 2015090706,   , MTWC,   0, 239N, 1386E,  50,    0, TS
WP, 18, 2015090712,   , MTWC,   0, 249N, 1385E,  55,    0, TS
WP, 18, 2015090718,   , MTWC,   0, 263N, 1383E,  65,    0, TY
WP, 18, 2015090800,   , MTWC,   0, 276N, 1382E,  70,    0, TY
WP, 18, 2015090806,   , MTWC,   0, 292N, 1382E,  70,    0, TY
WP, 18, 2015090812,   , MTWC,   0, 312N, 1383E,  70,    0, TY
WP, 18, 2015090818,   , MTWC,   0, 331N, 1378E,  60,    0, TS
WP, 18, 2015090900,   , MTWC,   0, 346N, 1372E,  45,    0, TS
WP, 18, 2015090906,   , MTWC,   0, 370N, 1363E,  35,    0, TS
WP, 18, 2015090912,   , MTWC,   0, 381N, 1351E,  35,    0, EX
WP, 18, 2015090918,   , MTWC,   0, 389N, 1345E,  35,    0, EX
WP, 18, 2015091000,   , MTWC,   0, 396N, 1347E,  35,    0, EX
WP, 18, 2015091006,   , MTWC,   0, 401N, 1351E,  35,    0, EX
WP, 18, 2015091012,   , MTWC,   0, 405N, 1356E,  35,    0, EX
WP, 18, 2015091018,   , MTWC,   0, 408N, 1361E,  35,    0, EX
WP, 18, 2015091100,   , MTWC,   0, 411N, 1368E,  35,    0, EX
WP, 18, 2015091106,   , MTWC,   0, 414N, 1376E,  35,    0, EX
WP, 18, 2015091112,   , MTWC,   0, 418N, 1385E,  35,    0, EX
