WP, 11, 2023082800,   , MTWC,   0,  93N, 1606E,  15,    0, DB
WP, 11, 2023082806,   , MTWC,   0,  95N, 1599E,  15,    0, DB
WP, 11, 2023082812,   , MTWC,   0,  99N, 1592E,  15,    0, DB
WP, 11, 2023082818,   , MTWC,   0, 101N, 1585E,  20,    0, DB
WP, 11, 2023082900,   , MTWC,   0, 104N, 1575E,  25,    0, TD
WP, 11, 2023082906,   , MTWC,   0, 108N, 1564E,  25,    0, TD
WP, 11, 2023082912,   , MTWC,   0, 111N, 1553E,  30,    0, TD
WP, 11, 2023082918,   , MTWC,   0, 116N, 1547E,  35,    0, TS
WP, 11, 2023083000,   , MTWC,   0, 124N, 1545E,  40,    0, TS
WP, 11, 2023083006,   , MTWC,   0, 129N, 1544E,  45,    0, TS
WP, 11, 2023083012,   , MTWC,   0, 133N, 1544E,  50,    0, TS
WP, 11, 2023083018,   , MTWC,   0, 141N, 1545E,  65,    0, TY
WP, 11, 2023083100,   , MTWC,   0, 152N, 1545E,  70,    0, TY
WP, 11, 2023083106,   , MTWC,   0, 167N, 1542E,  75,    0, TY
WP, 11, 2023083112,   , MTWC,   0, 179N, 1536E,  60,    0, TS
WP, 11, 2023083118,   , MTWC,   0, 191N, 1528E,  55,    0, TS
WP, 11, 2023090100,   , MTWC,   0, 204N, 1518E,  45,    0, TS
WP, 11, 2023090106,   , MTWC,   0, 219N, 1508E,  40,    0, TS
WP, 11, 2023090112,   , MTWC,   0, 233N, 1494E,  40,    0, TS
WP, 11, 2023090118,   , MTWC,   0, 244N, 1484E,  40,    0, TS
WP, 11, 2023090200,   , MTWC,   0, 254N, 1476E,  35,    0, TS
WP, 11, 2023090206,   , MTWC,   0, 271N, 1462E,  35,    0, TS
WP, 11, 2023090212,   , MTWC,   0, 283N, 1449E,  30,    0, TD
WP, 11, 2023090218,   , MTWC,   0, 291N, 1433E,  40,    0, TS
WP, 11, 2023090300,   , MTWC,   0, 295N, 1420E,  30,    0, TD
WP, 11, 2023090306,   , MTWC,   0, 302N, 1407E,  30,    0, TD
WP, 11, 2023090312,   , MTWC,   0, 305N, 1397E,  30,    0, TD
WP, 11, 2023090318,   , MTWC,   0, 313N, 1385E,  35,    0, TS
WP, 11, 2023090400,   , MTWC,   0, 318N, 1371E,  30,    0, TD
WP, 11, 2023090406,   , MTWC,   0, 317N, 1358E,  30,    0, TD
WP, 11, 2023090412,   , MTWC,   0, 315N, 1344E,  35,    0, TS
WP, 11, 2023090418,   , MTWC,   0, 312N, 1334E,  30,    0, TD
WP, 11, 2023090500,   , MTWC,   0, 310N, 1321E,  30,    0, TD
WP, 11, 2023090506,   , MTWC,   0, 309N, 1321E,  25,    0, TD
WP, 11, 2023090512,   , MTWC,   0, 312N, 1324E,  25,    0, TD
WP, 11, 2023090518,   , MTWC,   0, 318N, 1327E,  25,    0, TD
WP, 11, 2023090600,   , MTWC,   0, 321N, 1333E,  25,    0, TD
WP, 11, 2023090606,   , MTWC,   0, 320N, 1341E,  20,    0, DB
WP, 11, 2023090612,   , MTWC,   0, 316N, 1344E,  20,    0, DB
WP, 11, 2023090618,   , MTWC,   0, 309N, 1335E,  20,    0, DB
WP, 11, 2023090700,   , MTWC,   0, 295N, 1331E,  20,    0, DB
WP, 11, 2023090706,   , MTWC,   0, 285N, 1339E,  20,    0, DB
WP, 11, 2023090712,   , MTWC,   0, 289N, 1347E,  20,    0, DB
WP, 11, 2023090718,   , MTWC,   0, 294N, 1362E,  20,    0, DB
WP, 11, 2023090800,   , MTWC,   0, 304N, 1385E,  20,    0, DB
