WP, 07, 2013070600,   , MTWC,   0, 199N, 1562E,  25,    0, TD
WP, 07, 2013070606,   , MTWC,   0, 198N, 1549E,  25,    0, TD
WP, 07, 2013070612,   , MTWC,   0, 198N, 1536E,  25,    0, TD
WP, 07, 2013070618,   , MTWC,   0, 198N, 1521E,  30,    0, TD
WP, 07, 2013070700,   , MTWC,   0, 196N, 1507E,  30,    0, TD
WP, 07, 2013070706,   , MTWC,   0, 192N, 1495E,  30,    0, TD
WP, 07, 2013070712,   , MTWC,   0, 192N, 1482E,  40,    0, TS
WP, 07, 2013070718,   , MTWC,   0, 191N, 1468E,  50,    0, TS
WP, 07, 2013070800,   , MTWC,   0, 191N, 1454E,  55,    0, TS
WP, 07, 2013070806,   , MTWC,   0, 191N, 1439E,  60,    0, TS
WP, 07, 2013070812,   , MTWC,   0, 192N, 1427E,  70,    0, TY
WP, 07, 2013070818,   , MTWC,   0, 194N, 1415E,  75,    0, TY
WP, 07, 2013070900,   , MTWC,   0, 196N, 1404E,  85,    0, TY
WP, 07, 2013070906,   , MTWC,   0, 199N, 1394E,  95,    0, TY
WP, 07, 2013070912,   , MTWC,   0, 203N, 1382E, 110,    0, MH
WP, 07, 2013070918,   , MTWC,   0, 207N, 1371E, 122,    0, MH
WP, 07, 2013071000,   , MTWC,   0, 211N, 1358E, 130,    0, ST
WP, 07, 2013071006,   , MTWC,   0, 215N, 1348E, 125,    0, MH
WP, 07, 2013071012,   , MTWC,   0, 218N, 1335E, 115,    0, MH
WP, 07, 2013071018,   , MTWC,   0, 219N, 1323E, 108,    0, MH
WP, 07, 2013071100,   , MTWC,   0, 221N, 1309E, 105,    0, MH
WP, 07, 2013071106,   , MTWC,   0, 223N, 1297E, 105,    0, MH
WP, 07, 2013071112,   , MTWC,   0, 224N, 1284E,  95,    0, TY
WP, 07, 2013071118,   , MTWC,   0, 226N, 1270E, 100,    0, MH
WP, 07, 2013071200,   , MTWC,   0, 228N, 1259E,  95,    0, TY
WP, 07, 2013071206,   , MTWC,   0, 232N, 1249E,  90,    0, TY
WP, 07, 2013071212,   , MTWC,   0, 239N, 1238E,  90,    0, TY
WP, 07, 2013071218,   , MTWC,   0, 247N, 1224E,  80,    0, TY
WP, 07, 2013071300,   , MTWC,   0, 249N, 1210E,  60,    0, TS
WP, 07, 2013071306,   , MTWC,   0, 259N, 1200E,  45,    0, TS
WP, 07, 2013071312,   , MTWC,   0, 262N, 1185E,  40,    0, TS
WP, 07, 2013071318,   , MTWC,   0, 270N, 1172E,  40,    0, TS
WP, 07, 2013071400,   , MTWC,   0, 280N, 1163E,  35,    0, TS
WP, 07, 2013071406,   , MTWC,   0, 289N, 1158E,  30,    0, TD
WP, 07, 2013071412,   , MTWC,   0, 298N, 1155E,  25,    0, TD
WP, 07, 2013071418,   , MTWC,   0, 306N, 1151E,  25,    0, TD
