WP, 21, 2002082100,   , MTWC,   0, 130N, 1672E,  15,    0, DB
WP, 21, 2002082106,   , MTWC,   0, 131N, 1666E,  20,    0, DB
WP, 21, 2002082112,   , MTWC,   0, 134N, 1660E,  25,    0, TD
WP, 21, 2002082118,   , MTWC,   0, 138N, 1652E,  30,    0, TD
WP, 21, 2002082200,   , MTWC,   0, 142N, 1645E,  35,    0, TS
WP, 21, 2002082206,   , MTWC,   0, 148N, 1639E,  35,    0, TS
WP, 21, 2002082212,   , MTWC,   0, 153N, 1632E,  40,    0, TS
WP, 21, 2002082218,   , MTWC,   0, 157N, 1622E,  40,    0, TS
WP, 21, 2002082300,   , MTWC,   0, 163N, 1612E,  40,    0, TS
WP, 21, 2002082306,   , MTWC,   0, 168N, 1603E,  45,    0, TS
WP, 21, 2002082312,   , MTWC,   0, 175N, 1596E,  55,    0, TS
WP, 21, 2002082318,   , MTWC,   0, 182N, 1585E,  65,    0, TY
WP, 21, 2002082400,   , MTWC,   0, 187N, 1573E,  65,    0, TY
WP, 21, 2002082406,   , MTWC,   0, 191N, 1561E,  65,    0, TY
WP, 21, 2002082412,   , MTWC,   0, 196N, 1552E,  65,    0, TY
WP, 21, 2002082418,   , MTWC,   0, 201N, 1539E,  65,    0, TY
WP, 21, 2002082500,   , MTWC,   0, 206N, 1526E,  70,    0, TY
WP, 21, 2002082506,   , MTWC,   0, 210N, 1509E,  75,    0, TY
WP, 21, 2002082512,   , MTWC,   0, 214N, 1494E,  85,    0, TY
WP, 21, 2002082518,   , MTWC,   0, 218N, 1480E,  95,    0, TY
WP, 21, 2002082600,   , MTWC,   0, 221N, 1468E, 125,    0, TY
WP, 21, 2002082606,   , MTWC,   0, 225N, 1456E, 125,    0, TY
WP, 21, 2002082612,   , MTWC,   0, 228N, 1445E, 110,    0, TY
WP, 21, 2002082618,   , MTWC,   0, 232N, 1433E, 105,    0, TY
WP, 21, 2002082700,   , MTWC,   0, 235N, 1420E,  95,    0, TY
WP, 21, 2002082706,   , MTWC,   0, 239N, 1405E,  85,    0, TY
WP, 21, 2002082712,   , MTWC,   0, 242N, 1393E,  85,    0, TY
WP, 21, 2002082718,   , MTWC,   0, 247N, 1379E,  85,    0, TY
WP, 21, 2002082800,   , MTWC,   0, 252N, 1365E,  85,    0, TY
WP, 21, 2002082806,   , MTWC,   0, 257N, 1352E,  85,    0, TY
WP, 21, 2002082812,   , MTWC,   0, 264N, 1339E,  85,    0, TY
WP, 21, 2002082818,   , MTWC,   0, 270N, 1327E,  85,    0, TY
WP, 21, 2002082900,   , MTWC,   0, 275N, 1314E,  85,    0, TY
WP, 21, 2002082906,   , MTWC,   0, 279N, 1304E,  85,    0, TY
WP, 21, 2002082912,   , MTWC,   0, 284N, 1295E,  85,    0, TY
WP, 21, 2002082918,   , MTWC,   0, 289N, 1289E,  85,    0, TY
WP, 21, 2002083000,   , MTWC,   0, 295N, 1283E,  85,    0, TY
WP, 21, 2002083006,   , MTWC,   0, 302N, 1278E,  85,    0, TY
WP, 21, 2002083012,   , MTWC,   0, 308N, 1276E,  80,    0, TY
WP, 21, 2002083018,   , MTWC,   0, 316N, 1275E,  80,    0, TY
WP, 21, 2002083100,   , MTWC,   0, 327N, 1274E,  75,    0, TY
WP, 21, 2002083106,   , MTWC,   0, 342N, 1274E,  65,    0, TY
WP, 21, 2002083112,   , MTWC,   0, 355N, 1275E,  50,    0, TS
WP, 21, 2002083118,   , MTWC,   0, 366N, 1279E,  30,    0, TD
WP, 21, 2002090100,   , MTWC,   0, 379N, 1287E,  30,    0, TD
WP, 21, 2002090106,   , MTWC,   0, 390N, 1297E,  35,    0, EX
WP, 21, 2002090112,   , MTWC,   0, 406N, 1308E,  35,    0, EX
WP, 21, 2002090118,   , MTWC,   0, 435N, 1342E,  35,    0, EX
WP, 21, 2002090200,   , MTWC,   0, 465N, 1387E,  35,    0, EX
WP, 21, 2002090206,   , MTWC,   0, 492N, 1412E,  35,    0, EX
WP, 21, 2002090212,   , MTWC,   0, 512N, 1443E,  35,    0, EX
WP, 21, 2002090218,   , MTWC,   0, 526N, 1463E,  35,    0, EX
WP, 21, 2002090300,   , MTWC,   0, 533N, 1475E,  35,    0, EX
WP, 21, 2002090306,   , MTWC,   0, 543N, 1503E,  35,    0, EX
WP, 21, 2002090312,   , MTWC,   0, 552N, 1525E,  35,    0, EX
WP, 21, 2002090318,   , MTWC,   0, 550N, 1560E,  35,    0, EX
