WP, 09, 2001071900,   , MTWC,   0, 226N, 1548E,  20,    0, DB
WP, 09, 2001071906,   , MTWC,   0, 226N, 1545E,  20,    0, DB
WP, 09, 2001071912,   , MTWC,   0, 227N, 1542E,  20,    0, DB
WP, 09, 2001071918,   , MTWC,   0, 228N, 1538E,  25,    0, TD
WP, 09, 2001072000,   , MTWC,   0, 229N, 1533E,  25,    0, TD
WP, 09, 2001072006,   , MTWC,   0, 230N, 1529E,  30,    0, TD
WP, 09, 2001072012,   , MTWC,   0, 230N, 1526E,  30,    0, TD
WP, 09, 2001072018,   , MTWC,   0, 233N, 1523E,  30,    0, TD
WP, 09, 2001072100,   , MTWC,   0, 237N, 1520E,  35,    0, TS
WP, 09, 2001072106,   , MTWC,   0, 241N, 1518E,  45,    0, TS
WP, 09, 2001072112,   , MTWC,   0, 245N, 1515E,  50,    0, TS
WP, 09, 2001072118,   , MTWC,   0, 248N, 1511E,  50,    0, TS
WP, 09, 2001072200,   , MTWC,   0, 250N, 1503E,  65,    0, TY
WP, 09, 2001072206,   , MTWC,   0, 251N, 1497E,  55,    0, TS
WP, 09, 2001072212,   , MTWC,   0, 251N, 1490E,  60,    0, TS
WP, 09, 2001072215,   , MTWC,   0, 252N, 1488E,  70,    0, TY
WP, 09, 2001072218,   , MTWC,   0, 252N, 1485E,  80,    0, TY
WP, 09, 2001072300,   , MTWC,   0, 253N, 1480E,  70,    0, TY
WP, 09, 2001072306,   , MTWC,   0, 253N, 1472E,  65,    0, TY
WP, 09, 2001072312,   , MTWC,   0, 254N, 1463E,  60,    0, TS
WP, 09, 2001072318,   , MTWC,   0, 254N, 1453E,  55,    0, TS
WP, 09, 2001072400,   , MTWC,   0, 256N, 1441E,  55,    0, TS
WP, 09, 2001072406,   , MTWC,   0, 259N, 1430E,  55,    0, TS
WP, 09, 2001072412,   , MTWC,   0, 262N, 1421E,  60,    0, TS
WP, 09, 2001072418,   , MTWC,   0, 267N, 1414E,  65,    0, TY
WP, 09, 2001072500,   , MTWC,   0, 272N, 1407E,  75,    0, TY
WP, 09, 2001072506,   , MTWC,   0, 275N, 1405E,  85,    0, TY
WP, 09, 2001072512,   , MTWC,   0, 281N, 1404E,  85,    0, TY
WP, 09, 2001072518,   , MTWC,   0, 286N, 1405E,  80,    0, TY
WP, 09, 2001072600,   , MTWC,   0, 292N, 1408E,  85,    0, TY
WP, 09, 2001072606,   , MTWC,   0, 297N, 1412E,  90,    0, TY
WP, 09, 2001072612,   , MTWC,   0, 302N, 1419E, 100,    0, TY
WP, 09, 2001072618,   , MTWC,   0, 307N, 1427E, 110,    0, TY
WP, 09, 2001072700,   , MTWC,   0, 312N, 1436E, 100,    0, TY
WP, 09, 2001072706,   , MTWC,   0, 316N, 1448E,  95,    0, TY
WP, 09, 2001072712,   , MTWC,   0, 320N, 1459E,  85,    0, TY
WP, 09, 2001072718,   , MTWC,   0, 325N, 1471E,  70,    0, TY
WP, 09, 2001072800,   , MTWC,   0, 331N, 1483E,  65,    0, TY
WP, 09, 2001072806,   , MTWC,   0, 338N, 1499E,  65,    0, TY
WP, 09, 2001072812,   , MTWC,   0, 346N, 1517E,  70,    0, TY
WP, 09, 2001072818,   , MTWC,   0, 358N, 1533E,  60,    0, TS
WP, 09, 2001072900,   , MTWC,   0, 371N, 1550E,  50,    0, TS
WP, 09, 2001072906,   , MTWC,   0, 388N, 1571E,  50,    0, TS
WP, 09, 2001072912,   , MTWC,   0, 400N, 1594E,  55,    0, TS
WP, 09, 2001072918,   , MTWC,   0, 409N, 1614E,  55,    0, TS
WP, 09, 2001073000,   , MTWC,   0, 424N, 1633E,  50,    0, TS
WP, 09, 2001073006,   , MTWC,   0, 433N, 1651E,  50,    0, EX
WP, 09, 2001073012,   , MTWC,   0, 449N, 1680E,  50,    0, EX
WP, 09, 2001073018,   , MTWC,   0, 462N, 1707E,  50,    0, EX
WP, 09, 2001073100,   , MTWC,   0, 482N, 1726E,  50,    0, EX
WP, 09, 2001073106,   , MTWC,   0, 494N, 1735E,  50,    0, EX
WP, 09, 2001073112,   , MTWC,   0, 503N, 1746E,  50,    0, EX
WP, 09, 2001073118,   , MTWC,   0, 509N, 1748E,  50,    0, EX
WP, 09, 2001080100,   , MTWC,   0, 516N, 1741E,  65,    0, EX
WP, 09, 2001080106,   , MTWC,   0, 521N, 1729E,  65,    0, EX
WP, 09, 2001080112,   , MTWC,   0, 524N, 1721E,  65,    0, EX
WP, 09, 2001080118,   , MTWC,   0, 527N, 1711E,  65,    0, EX
WP, 09, 2001080200,   , MTWC,   0, 530N, 1705E,  65,    0, EX
WP, 09, 2001080206,   , MTWC,   0, 534N, 1719E,  50,    0, EX
WP, 09, 2001080212,   , MTWC,   0, 534N, 1730E,  50,    0, EX
WP, 09, 2001080218,   , MTWC,   0, 533N, 1743E,  50,    0, EX
