WP, 17, 1957100800,   , MTWC,   0, 108N, 1495E,  15,    0, DB
WP, 17, 1957100806,   , MTWC,   0, 109N, 1480E,  15,    0, DB
WP, 17, 1957100812,   , MTWC,   0, 112N, 1465E,  15,    0, DB
WP, 17, 1957100818,   , MTWC,   0, 115N, 1450E,  15,    0, DB
WP, 17, 1957100900,   , MTWC,   0, 117N, 1437E,  20,    0, DB
WP, 17, 1957100906,   , MTWC,   0, 118N, 1422E,  20,    0, DB
WP, 17, 1957100912,   , MTWC,   0, 119N, 1408E,  20,    0, DB
WP, 17, 1957100918,   , MTWC,   0, 120N, 1394E,  25,    0, TD
WP, 17, 1957101000,   , MTWC,   0, 118N, 1381E,  25,    0, TD
WP, 17, 1957101006,   , MTWC,   0, 118N, 1368E,  25,    0, TD
WP, 17, 1957101012,   , MTWC,   0, 119N, 1355E,  30,    0, TD
WP, 17, 1957101018,   , MTWC,   0, 120N, 1341E,  30,    0, TD
WP, 17, 1957101100,   , MTWC,   0, 122N, 1325E,  35,    0, TS
WP, 17, 1957101106,   , MTWC,   0, 123N, 1310E,  35,    0, TS
WP, 17, 1957101112,   , MTWC,   0, 125N, 1295E,  40,    0, TS
WP, 17, 1957101118,   , MTWC,   0, 127N, 1282E,  45,    0, TS
WP, 17, 1957101200,   , MTWC,   0, 130N, 1270E,  45,    0, TS
WP, 17, 1957101206,   , MTWC,   0, 133N, 1257E,  50,    0, TS
WP, 17, 1957101212,   , MTWC,   0, 139N, 1241E,  45,    0, TS
WP, 17, 1957101218,   , MTWC,   0, 145N, 1224E,  50,    0, TS
WP, 17, 1957101300,   , MTWC,   0, 150N, 1213E,  45,    0, TS
WP, 17, 1957101306,   , MTWC,   0, 154N, 1201E,  40,    0, TS
WP, 17, 1957101312,   , MTWC,   0, 160N, 1189E,  40,    0, TS
WP, 17, 1957101318,   , MTWC,   0, 168N, 1176E,  45,    0, TS
WP, 17, 1957101400,   , MTWC,   0, 174N, 1167E,  50,    0, TS
WP, 17, 1957101406,   , MTWC,   0, 180N, 1158E,  45,    0, TS
WP, 17, 1957101412,   , MTWC,   0, 187N, 1152E,  50,    0, TS
WP, 17, 1957101418,   , MTWC,   0, 193N, 1145E,  50,    0, TS
WP, 17, 1957101500,   , MTWC,   0, 201N, 1137E,  55,    0, TS
WP, 17, 1957101506,   , MTWC,   0, 212N, 1129E,  50,    0, TS
WP, 17, 1957101512,   , MTWC,   0, 222N, 1128E,  40,    0, TS
WP, 17, 1957101518,   , MTWC,   0, 231N, 1126E,  35,    0, TS
WP, 17, 1957101600,   , MTWC,   0, 236N, 1128E,  30,    0, TD
WP, 17, 1957101606,   , MTWC,   0, 238N, 1132E,  25,    0, TD
WP, 17, 1957101612,   , MTWC,   0, 240N, 1138E,  20,    0, DB
WP, 17, 1957101618,   , MTWC,   0, 241N, 1145E,  15,    0, DB
