CP, 01, 1957091600,   , MTWC,   0, 349N, 1658E,  90,    0, TY
CP, 01, 1957091606,   , MTWC,   0, 359N, 1690E,  85,    0, TY
CP, 01, 1957091612,   , MTWC,   0, 370N, 1727E,  75,    0, TY
CP, 01, 1957091618,   , MTWC,   0, 381N, 1763E,  65,    0, TY
CP, 01, 1957091700,   , MTWC,   0, 395N, 1798W,  60,    0, TS
CP, 01, 1957091706,   , MTWC,   0, 410N, 1790W,  55,    0, TS
CP, 01, 1957091712,   , MTWC,   0, 428N, 1775W,  50,    0, TS
CP, 01, 1957091718,   , MTWC,   0, 446N, 1766W,  55,    0, EX
CP, 01, 1957091800,   , MTWC,   0, 465N, 1734W,  55,    0, EX
CP, 01, 1957091806,   , MTWC,   0, 481N, 1705W,  55,    0, EX
CP, 01, 1957091812,   , MTWC,   0, 495N, 1675W,  55,    0, EX
