WP, 22, 2000082900,   , MTWC,   0, 109N, 1618E,  15,    0, DB
WP, 22, 2000082906,   , MTWC,   0, 109N, 1614E,  15,    0, DB
WP, 22, 2000082912,   , MTWC,   0, 110N, 1611E,  15,    0, DB
WP, 22, 2000082918,   , MTWC,   0, 110N, 1606E,  15,    0, DB
WP, 22, 2000083000,   , MTWC,   0, 111N, 1599E,  15,    0, DB
WP, 22, 2000083006,   , MTWC,   0, 112N, 1593E,  20,    0, DB
WP, 22, 2000083012,   , MTWC,   0, 114N, 1586E,  20,    0, DB
WP, 22, 2000083018,   , MTWC,   0, 116N, 1579E,  20,    0, DB
WP, 22, 2000083100,   , MTWC,   0, 119N, 1575E,  20,    0, DB
WP, 22, 2000083106,   , MTWC,   0, 124N, 1571E,  25,    0, TD
WP, 22, 2000083112,   , MTWC,   0, 129N, 1568E,  25,    0, TD
WP, 22, 2000083118,   , MTWC,   0, 135N, 1569E,  30,    0, TD
WP, 22, 2000090100,   , MTWC,   0, 142N, 1570E,  30,    0, TD
WP, 22, 2000090106,   , MTWC,   0, 148N, 1570E,  30,    0, TD
WP, 22, 2000090112,   , MTWC,   0, 155N, 1571E,  35,    0, TS
WP, 22, 2000090118,   , MTWC,   0, 159N, 1575E,  40,    0, TS
WP, 22, 2000090200,   , MTWC,   0, 161N, 1577E,  40,    0, TS
WP, 22, 2000090206,   , MTWC,   0, 163N, 1572E,  45,    0, TS
WP, 22, 2000090212,   , MTWC,   0, 161N, 1564E,  50,    0, TS
WP, 22, 2000090218,   , MTWC,   0, 160N, 1556E,  60,    0, TS
WP, 22, 2000090300,   , MTWC,   0, 158N, 1549E,  65,    0, TY
WP, 22, 2000090306,   , MTWC,   0, 159N, 1542E,  70,    0, TY
WP, 22, 2000090312,   , MTWC,   0, 159N, 1535E,  70,    0, TY
WP, 22, 2000090318,   , MTWC,   0, 160N, 1526E,  70,    0, TY
WP, 22, 2000090400,   , MTWC,   0, 160N, 1517E,  65,    0, TY
WP, 22, 2000090406,   , MTWC,   0, 161N, 1508E,  70,    0, TY
WP, 22, 2000090412,   , MTWC,   0, 162N, 1499E,  65,    0, TS
WP, 22, 2000090418,   , MTWC,   0, 161N, 1490E,  55,    0, TS
WP, 22, 2000090500,   , MTWC,   0, 160N, 1481E,  45,    0, TS
WP, 22, 2000090506,   , MTWC,   0, 158N, 1477E,  40,    0, TS
WP, 22, 2000090512,   , MTWC,   0, 150N, 1476E,  40,    0, TS
WP, 22, 2000090518,   , MTWC,   0, 143N, 1478E,  45,    0, TS
WP, 22, 2000090600,   , MTWC,   0, 136N, 1479E,  55,    0, TS
WP, 22, 2000090606,   , MTWC,   0, 138N, 1475E,  55,    0, TS
WP, 22, 2000090612,   , MTWC,   0, 142N, 1472E,  55,    0, TS
WP, 22, 2000090618,   , MTWC,   0, 148N, 1468E,  55,    0, TS
WP, 22, 2000090700,   , MTWC,   0, 158N, 1459E,  60,    0, TS
WP, 22, 2000090706,   , MTWC,   0, 167N, 1448E,  55,    0, TS
WP, 22, 2000090712,   , MTWC,   0, 173N, 1436E,  55,    0, TS
WP, 22, 2000090718,   , MTWC,   0, 178N, 1422E,  50,    0, TS
WP, 22, 2000090800,   , MTWC,   0, 183N, 1412E,  55,    0, TS
WP, 22, 2000090806,   , MTWC,   0, 190N, 1404E,  65,    0, TY
WP, 22, 2000090812,   , MTWC,   0, 197N, 1395E,  75,    0, TY
WP, 22, 2000090818,   , MTWC,   0, 204N, 1384E,  90,    0, TY
WP, 22, 2000090900,   , MTWC,   0, 210N, 1375E, 100,    0, TY
WP, 22, 2000090906,   , MTWC,   0, 216N, 1368E, 105,    0, TY
WP, 22, 2000090912,   , MTWC,   0, 224N, 1361E, 120,    0, TY
WP, 22, 2000090918,   , MTWC,   0, 233N, 1352E, 145,    0, ST
WP, 22, 2000091000,   , MTWC,   0, 238N, 1342E, 140,    0, ST
WP, 22, 2000091006,   , MTWC,   0, 242N, 1330E, 155,    0, ST
WP, 22, 2000091012,   , MTWC,   0, 242N, 1324E, 160,    0, ST
WP, 22, 2000091018,   , MTWC,   0, 244N, 1320E, 150,    0, ST
WP, 22, 2000091100,   , MTWC,   0, 248N, 1315E, 130,    0, TY
WP, 22, 2000091106,   , MTWC,   0, 253N, 1308E, 115,    0, TY
WP, 22, 2000091112,   , MTWC,   0, 255N, 1303E, 125,    0, TY
WP, 22, 2000091118,   , MTWC,   0, 258N, 1295E, 105,    0, TY
WP, 22, 2000091200,   , MTWC,   0, 261N, 1289E, 100,    0, TY
WP, 22, 2000091206,   , MTWC,   0, 263N, 1282E,  90,    0, TY
WP, 22, 2000091212,   , MTWC,   0, 267N, 1278E,  90,    0, TY
WP, 22, 2000091218,   , MTWC,   0, 270N, 1272E,  85,    0, TY
WP, 22, 2000091300,   , MTWC,   0, 274N, 1265E,  85,    0, TY
WP, 22, 2000091306,   , MTWC,   0, 278N, 1258E,  85,    0, TY
WP, 22, 2000091312,   , MTWC,   0, 279N, 1252E,  90,    0, TY
WP, 22, 2000091318,   , MTWC,   0, 279N, 1248E, 100,    0, TY
WP, 22, 2000091400,   , MTWC,   0, 280N, 1245E,  95,    0, TY
WP, 22, 2000091406,   , MTWC,   0, 282N, 1242E,  90,    0, TY
WP, 22, 2000091412,   , MTWC,   0, 284N, 1242E,  80,    0, TY
WP, 22, 2000091418,   , MTWC,   0, 287N, 1245E,  85,    0, TY
WP, 22, 2000091500,   , MTWC,   0, 291N, 1253E,  80,    0, TY
WP, 22, 2000091506,   , MTWC,   0, 301N, 1263E,  70,    0, TY
WP, 22, 2000091512,   , MTWC,   0, 317N, 1275E,  65,    0, TY
WP, 22, 2000091518,   , MTWC,   0, 340N, 1281E,  65,    0, TY
WP, 22, 2000091600,   , MTWC,   0, 367N, 1289E,  55,    0, TS
WP, 22, 2000091606,   , MTWC,   0, 395N, 1295E,  50,    0, TS
WP, 22, 2000091612,   , MTWC,   0, 406N, 1311E,  55,    0, EX
WP, 22, 2000091618,   , MTWC,   0, 420N, 1314E,  55,    0, EX
WP, 22, 2000091700,   , MTWC,   0, 427N, 1316E,  55,    0, EX
WP, 22, 2000091706,   , MTWC,   0, 447N, 1330E,  55,    0, EX
WP, 22, 2000091712,   , MTWC,   0, 465N, 1351E,  55,    0, EX
WP, 22, 2000091718,   , MTWC,   0, 470N, 1362E,  55,    0, EX
WP, 22, 2000091800,   , MTWC,   0, 475N, 1372E,  55,    0, EX
WP, 22, 2000091806,   , MTWC,   0, 475N, 1387E,  55,    0, EX
WP, 22, 2000091812,   , MTWC,   0, 476N, 1407E,  55,    0, EX
WP, 22, 2000091818,   , MTWC,   0, 475N, 1416E,  55,    0, EX
WP, 22, 2000091900,   , MTWC,   0, 474N, 1422E,  55,    0, EX
