WP, 20, 2000082200,   , MTWC,   0,  63N, 1466E,  15,    0, DB
WP, 20, 2000082206,   , MTWC,   0,  63N, 1456E,  15,    0, DB
WP, 20, 2000082212,   , MTWC,   0,  63N, 1447E,  15,    0, DB
WP, 20, 2000082218,   , MTWC,   0,  64N, 1439E,  15,    0, DB
WP, 20, 2000082300,   , MTWC,   0,  65N, 1431E,  20,    0, DB
WP, 20, 2000082306,   , MTWC,   0,  67N, 1423E,  20,    0, DB
WP, 20, 2000082312,   , MTWC,   0,  69N, 1415E,  20,    0, DB
WP, 20, 2000082318,   , MTWC,   0,  72N, 1405E,  20,    0, DB
WP, 20, 2000082400,   , MTWC,   0,  78N, 1396E,  25,    0, TD
WP, 20, 2000082406,   , MTWC,   0,  89N, 1378E,  30,    0, TD
WP, 20, 2000082412,   , MTWC,   0,  96N, 1367E,  30,    0, TD
WP, 20, 2000082418,   , MTWC,   0, 110N, 1353E,  30,    0, TD
WP, 20, 2000082500,   , MTWC,   0, 120N, 1335E,  35,    0, TS
WP, 20, 2000082506,   , MTWC,   0, 127N, 1319E,  35,    0, TS
WP, 20, 2000082512,   , MTWC,   0, 132N, 1312E,  35,    0, TS
WP, 20, 2000082518,   , MTWC,   0, 138N, 1315E,  35,    0, TS
WP, 20, 2000082600,   , MTWC,   0, 151N, 1317E,  40,    0, TS
WP, 20, 2000082606,   , MTWC,   0, 165N, 1317E,  35,    0, TS
WP, 20, 2000082612,   , MTWC,   0, 187N, 1318E,  35,    0, TS
WP, 20, 2000082618,   , MTWC,   0, 205N, 1314E,  45,    0, TS
WP, 20, 2000082700,   , MTWC,   0, 216N, 1304E,  45,    0, TS
WP, 20, 2000082706,   , MTWC,   0, 223N, 1295E,  40,    0, TS
WP, 20, 2000082712,   , MTWC,   0, 227N, 1289E,  40,    0, TS
WP, 20, 2000082718,   , MTWC,   0, 229N, 1284E,  40,    0, TS
WP, 20, 2000082800,   , MTWC,   0, 233N, 1276E,  45,    0, TS
WP, 20, 2000082806,   , MTWC,   0, 232N, 1267E,  50,    0, TS
WP, 20, 2000082812,   , MTWC,   0, 231N, 1260E,  60,    0, TS
WP, 20, 2000082818,   , MTWC,   0, 234N, 1256E,  60,    0, TS
WP, 20, 2000082900,   , MTWC,   0, 238N, 1253E,  60,    0, TS
WP, 20, 2000082906,   , MTWC,   0, 243N, 1250E,  65,    0, TY
WP, 20, 2000082912,   , MTWC,   0, 251N, 1246E,  65,    0, TY
WP, 20, 2000082918,   , MTWC,   0, 259N, 1240E,  70,    0, TY
WP, 20, 2000083000,   , MTWC,   0, 269N, 1238E,  75,    0, TY
WP, 20, 2000083006,   , MTWC,   0, 286N, 1233E,  90,    0, TY
WP, 20, 2000083012,   , MTWC,   0, 299N, 1231E,  90,    0, TY
WP, 20, 2000083018,   , MTWC,   0, 315N, 1233E,  85,    0, TY
WP, 20, 2000083100,   , MTWC,   0, 334N, 1238E,  75,    0, TY
WP, 20, 2000083106,   , MTWC,   0, 353N, 1241E,  65,    0, TY
WP, 20, 2000083112,   , MTWC,   0, 373N, 1251E,  55,    0, TS
WP, 20, 2000083118,   , MTWC,   0, 393N, 1268E,  50,    0, TS
WP, 20, 2000090100,   , MTWC,   0, 413N, 1291E,  45,    0, TS
WP, 20, 2000090106,   , MTWC,   0, 424N, 1313E,  45,    0, EX
WP, 20, 2000090112,   , MTWC,   0, 427N, 1336E,  45,    0, EX
WP, 20, 2000090118,   , MTWC,   0, 421N, 1350E,  45,    0, EX
WP, 20, 2000090200,   , MTWC,   0, 421N, 1374E,  45,    0, EX
WP, 20, 2000090206,   , MTWC,   0, 421N, 1392E,  55,    0, EX
WP, 20, 2000090212,   , MTWC,   0, 415N, 1402E,  55,    0, EX
WP, 20, 2000090218,   , MTWC,   0, 403N, 1414E,  65,    0, EX
WP, 20, 2000090300,   , MTWC,   0, 396N, 1445E,  65,    0, EX
WP, 20, 2000090306,   , MTWC,   0, 397N, 1468E,  65,    0, EX
WP, 20, 2000090312,   , MTWC,   0, 412N, 1498E,  65,    0, EX
WP, 20, 2000090318,   , MTWC,   0, 419N, 1526E,  55,    0, EX
WP, 20, 2000090400,   , MTWC,   0, 427N, 1537E,  55,    0, EX
WP, 20, 2000090406,   , MTWC,   0, 428N, 1539E,  55,    0, EX
