WP, 31, 2018102000,   , MTWC,   0,  76N, 1640E,  15,    0, DB
WP, 31, 2018102006,   , MTWC,   0,  77N, 1631E,  20,    0, DB
WP, 31, 2018102012,   , MTWC,   0,  79N, 1620E,  20,    0, DB
WP, 31, 2018102018,   , MTWC,   0,  81N, 1608E,  25,    0, TD
WP, 31, 2018102100,   , MTWC,   0,  83N, 1597E,  25,    0, TD
WP, 31, 2018102106,   , MTWC,   0,  84N, 1587E,  30,    0, TD
WP, 31, 2018102112,   , MTWC,   0,  85N, 1578E,  35,    0, TS
WP, 31, 2018102118,   , MTWC,   0,  88N, 1569E,  40,    0, TS
WP, 31, 2018102200,   , MTWC,   0,  92N, 1559E,  40,    0, TS
WP, 31, 2018102206,   , MTWC,   0, 100N, 1550E,  45,    0, TS
WP, 31, 2018102212,   , MTWC,   0, 107N, 1539E,  55,    0, TS
WP, 31, 2018102218,   , MTWC,   0, 112N, 1527E,  65,    0, TY
WP, 31, 2018102300,   , MTWC,   0, 116N, 1516E,  75,    0, TY
WP, 31, 2018102306,   , MTWC,   0, 119N, 1506E,  85,    0, TY
WP, 31, 2018102312,   , MTWC,   0, 121N, 1496E,  95,    0, TY
WP, 31, 2018102318,   , MTWC,   0, 127N, 1489E, 110,    0, TY
WP, 31, 2018102400,   , MTWC,   0, 133N, 1480E, 135,    0, ST
WP, 31, 2018102406,   , MTWC,   0, 140N, 1471E, 155,    0, ST
WP, 31, 2018102412,   , MTWC,   0, 147N, 1462E, 160,    0, ST
WP, 31, 2018102418,   , MTWC,   0, 153N, 1453E, 160,    0, ST
WP, 31, 2018102500,   , MTWC,   0, 158N, 1441E, 145,    0, ST
WP, 31, 2018102506,   , MTWC,   0, 160N, 1432E, 135,    0, ST
WP, 31, 2018102512,   , MTWC,   0, 163N, 1423E, 125,    0, TY
WP, 31, 2018102518,   , MTWC,   0, 166N, 1414E, 120,    0, TY
WP, 31, 2018102600,   , MTWC,   0, 168N, 1403E, 125,    0, TY
WP, 31, 2018102606,   , MTWC,   0, 170N, 1391E, 135,    0, ST
WP, 31, 2018102612,   , MTWC,   0, 172N, 1376E, 140,    0, ST
WP, 31, 2018102618,   , MTWC,   0, 174N, 1362E, 145,    0, ST
WP, 31, 2018102700,   , MTWC,   0, 177N, 1347E, 150,    0, ST
WP, 31, 2018102706,   , MTWC,   0, 179N, 1333E, 140,    0, ST
WP, 31, 2018102712,   , MTWC,   0, 181N, 1322E, 130,    0, ST
WP, 31, 2018102718,   , MTWC,   0, 180N, 1311E, 120,    0, TY
WP, 31, 2018102800,   , MTWC,   0, 180N, 1301E, 105,    0, TY
WP, 31, 2018102806,   , MTWC,   0, 179N, 1291E, 115,    0, TY
WP, 31, 2018102812,   , MTWC,   0, 178N, 1281E, 100,    0, TY
WP, 31, 2018102818,   , MTWC,   0, 175N, 1271E,  90,    0, TY
WP, 31, 2018102900,   , MTWC,   0, 170N, 1262E,  80,    0, TY
WP, 31, 2018102906,   , MTWC,   0, 168N, 1253E,  85,    0, TY
WP, 31, 2018102912,   , MTWC,   0, 168N, 1242E,  95,    0, TY
WP, 31, 2018102915,   , MTWC,   0, 168N, 1236E, 100,    0, TY
WP, 31, 2018102918,   , MTWC,   0, 168N, 1230E,  95,    0, TY
WP, 31, 2018103000,   , MTWC,   0, 167N, 1216E,  85,    0, TY
WP, 31, 2018103006,   , MTWC,   0, 166N, 1202E,  65,    0, TY
WP, 31, 2018103012,   , MTWC,   0, 167N, 1192E,  50,    0, TS
WP, 31, 2018103018,   , MTWC,   0, 169N, 1187E,  45,    0, TS
WP, 31, 2018103100,   , MTWC,   0, 175N, 1181E,  45,    0, TS
WP, 31, 2018103106,   , MTWC,   0, 180N, 1176E,  50,    0, TS
WP, 31, 2018103112,   , MTWC,   0, 184N, 1173E,  55,    0, TS
WP, 31, 2018103118,   , MTWC,   0, 189N, 1170E,  60,    0, TS
WP, 31, 2018110100,   , MTWC,   0, 195N, 1167E,  55,    0, TS
WP, 31, 2018110106,   , MTWC,   0, 200N, 1166E,  55,    0, TS
WP, 31, 2018110112,   , MTWC,   0, 203N, 1165E,  50,    0, TS
WP, 31, 2018110118,   , MTWC,   0, 206N, 1164E,  40,    0, TS
WP, 31, 2018110200,   , MTWC,   0, 207N, 1163E,  35,    0, TS
WP, 31, 2018110206,   , MTWC,   0, 207N, 1161E,  30,    0, TD
WP, 31, 2018110212,   , MTWC,   0, 205N, 1159E,  30,    0, TD
WP, 31, 2018110218,   , MTWC,   0, 202N, 1158E,  25,    0, TD
WP, 31, 2018110300,   , MTWC,   0, 199N, 1156E,  25,    0, TD
WP, 31, 2018110306,   , MTWC,   0, 196N, 1154E,  20,    0, DB
WP, 31, 2018110312,   , MTWC,   0, 192N, 1150E,  20,    0, DB
WP, 31, 2018110318,   , MTWC,   0, 189N, 1146E,  20,    0, DB
