WP, 26, 2018090400,   , MTWC,   0, 101N, 1785E,  15,    0, DB
WP, 26, 2018090406,   , MTWC,   0, 103N, 1780E,  15,    0, DB
WP, 26, 2018090412,   , MTWC,   0, 104N, 1774E,  20,    0, DB
WP, 26, 2018090418,   , MTWC,   0, 104N, 1769E,  20,    0, DB
WP, 26, 2018090500,   , MTWC,   0, 105N, 1762E,  20,    0, DB
WP, 26, 2018090506,   , MTWC,   0, 105N, 1755E,  25,    0, TD
WP, 26, 2018090512,   , MTWC,   0, 107N, 1747E,  25,    0, TD
WP, 26, 2018090518,   , MTWC,   0, 110N, 1738E,  30,    0, TD
WP, 26, 2018090600,   , MTWC,   0, 113N, 1728E,  35,    0, TS
WP, 26, 2018090606,   , MTWC,   0, 116N, 1718E,  35,    0, TS
WP, 26, 2018090612,   , MTWC,   0, 118N, 1705E,  40,    0, TS
WP, 26, 2018090618,   , MTWC,   0, 120N, 1692E,  45,    0, TS
WP, 26, 2018090700,   , MTWC,   0, 121N, 1679E,  45,    0, TS
WP, 26, 2018090706,   , MTWC,   0, 124N, 1666E,  40,    0, TS
WP, 26, 2018090712,   , MTWC,   0, 128N, 1654E,  50,    0, TS
WP, 26, 2018090718,   , MTWC,   0, 131N, 1638E,  50,    0, TS
WP, 26, 2018090800,   , MTWC,   0, 136N, 1624E,  45,    0, TS
WP, 26, 2018090806,   , MTWC,   0, 143N, 1608E,  45,    0, TS
WP, 26, 2018090812,   , MTWC,   0, 146N, 1591E,  55,    0, TS
WP, 26, 2018090818,   , MTWC,   0, 148N, 1572E,  70,    0, TY
WP, 26, 2018090900,   , MTWC,   0, 151N, 1551E,  75,    0, TY
WP, 26, 2018090906,   , MTWC,   0, 153N, 1532E,  75,    0, TY
WP, 26, 2018090912,   , MTWC,   0, 151N, 1513E,  80,    0, TY
WP, 26, 2018090918,   , MTWC,   0, 147N, 1492E,  80,    0, TY
WP, 26, 2018091000,   , MTWC,   0, 145N, 1475E,  85,    0, TY
WP, 26, 2018091006,   , MTWC,   0, 143N, 1456E,  95,    0, TY
WP, 26, 2018091012,   , MTWC,   0, 141N, 1442E, 105,    0, TY
WP, 26, 2018091018,   , MTWC,   0, 140N, 1427E, 115,    0, TY
WP, 26, 2018091100,   , MTWC,   0, 139N, 1412E, 125,    0, TY
WP, 26, 2018091106,   , MTWC,   0, 138N, 1398E, 140,    0, ST
WP, 26, 2018091112,   , MTWC,   0, 137N, 1387E, 150,    0, ST
WP, 26, 2018091118,   , MTWC,   0, 136N, 1373E, 150,    0, ST
WP, 26, 2018091200,   , MTWC,   0, 138N, 1362E, 145,    0, ST
WP, 26, 2018091206,   , MTWC,   0, 140N, 1352E, 145,    0, ST
WP, 26, 2018091212,   , MTWC,   0, 142N, 1340E, 150,    0, ST
WP, 26, 2018091218,   , MTWC,   0, 144N, 1325E, 140,    0, ST
WP, 26, 2018091300,   , MTWC,   0, 145N, 1314E, 135,    0, ST
WP, 26, 2018091306,   , MTWC,   0, 147N, 1301E, 125,    0, TY
WP, 26, 2018091312,   , MTWC,   0, 149N, 1289E, 125,    0, TY
WP, 26, 2018091318,   , MTWC,   0, 152N, 1279E, 130,    0, ST
WP, 26, 2018091400,   , MTWC,   0, 159N, 1269E, 135,    0, ST
WP, 26, 2018091406,   , MTWC,   0, 167N, 1256E, 140,    0, ST
WP, 26, 2018091412,   , MTWC,   0, 174N, 1241E, 145,    0, ST
WP, 26, 2018091418,   , MTWC,   0, 179N, 1224E, 145,    0, ST
WP, 26, 2018091500,   , MTWC,   0, 182N, 1207E, 105,    0, TY
WP, 26, 2018091506,   , MTWC,   0, 185N, 1197E,  90,    0, TY
WP, 26, 2018091512,   , MTWC,   0, 192N, 1183E,  75,    0, TY
WP, 26, 2018091518,   , MTWC,   0, 198N, 1169E,  75,    0, TY
WP, 26, 2018091600,   , MTWC,   0, 207N, 1153E,  80,    0, TY
WP, 26, 2018091606,   , MTWC,   0, 215N, 1135E,  90,    0, TY
WP, 26, 2018091612,   , MTWC,   0, 221N, 1116E,  75,    0, TY
WP, 26, 2018091618,   , MTWC,   0, 224N, 1098E,  50,    0, TS
WP, 26, 2018091700,   , MTWC,   0, 229N, 1085E,  35,    0, TS
WP, 26, 2018091706,   , MTWC,   0, 234N, 1071E,  30,    0, TD
WP, 26, 2018091712,   , MTWC,   0, 238N, 1056E,  25,    0, TD
WP, 26, 2018091718,   , MTWC,   0, 241N, 1040E,  25,    0, TD
WP, 26, 2018091800,   , MTWC,   0, 243N, 1025E,  20,    0, DB
WP, 26, 2018091806,   , MTWC,   0, 246N, 1010E,  20,    0, DB
