WP, 15, 2018072000,   , MTWC,   0, 101N, 1445E,  15,    0, DB
WP, 15, 2018072006,   , MTWC,   0, 103N, 1437E,  20,    0, DB
WP, 15, 2018072012,   , MTWC,   0, 107N, 1430E,  25,    0, TD
WP, 15, 2018072018,   , MTWC,   0, 112N, 1425E,  30,    0, TD
WP, 15, 2018072100,   , MTWC,   0, 118N, 1421E,  35,    0, TS
WP, 15, 2018072106,   , MTWC,   0, 123N, 1415E,  35,    0, TS
WP, 15, 2018072112,   , MTWC,   0, 126N, 1408E,  35,    0, TS
WP, 15, 2018072118,   , MTWC,   0, 129N, 1398E,  40,    0, TS
WP, 15, 2018072200,   , MTWC,   0, 133N, 1390E,  40,    0, TS
WP, 15, 2018072206,   , MTWC,   0, 138N, 1385E,  35,    0, TS
WP, 15, 2018072212,   , MTWC,   0, 144N, 1381E,  30,    0, TS
WP, 15, 2018072218,   , MTWC,   0, 149N, 1376E,  30,    0, TD
WP, 15, 2018072300,   , MTWC,   0, 155N, 1372E,  30,    0, TD
WP, 15, 2018072306,   , MTWC,   0, 161N, 1370E,  35,    0, TS
WP, 15, 2018072312,   , MTWC,   0, 168N, 1366E,  35,    0, TS
WP, 15, 2018072318,   , MTWC,   0, 175N, 1366E,  40,    0, TS
WP, 15, 2018072400,   , MTWC,   0, 181N, 1367E,  40,    0, TS
WP, 15, 2018072406,   , MTWC,   0, 189N, 1367E,  45,    0, TS
WP, 15, 2018072412,   , MTWC,   0, 196N, 1367E,  50,    0, TS
WP, 15, 2018072418,   , MTWC,   0, 203N, 1366E,  50,    0, TS
WP, 15, 2018072500,   , MTWC,   0, 209N, 1367E,  55,    0, TS
WP, 15, 2018072506,   , MTWC,   0, 216N, 1371E,  60,    0, TS
WP, 15, 2018072512,   , MTWC,   0, 219N, 1373E,  65,    0, TY
WP, 15, 2018072518,   , MTWC,   0, 220N, 1376E,  70,    0, TY
WP, 15, 2018072600,   , MTWC,   0, 222N, 1383E,  75,    0, TY
WP, 15, 2018072606,   , MTWC,   0, 227N, 1392E,  75,    0, TY
WP, 15, 2018072612,   , MTWC,   0, 233N, 1402E,  80,    0, TY
WP, 15, 2018072618,   , MTWC,   0, 241N, 1411E,  85,    0, TY
WP, 15, 2018072700,   , MTWC,   0, 250N, 1424E,  90,    0, TY
WP, 15, 2018072706,   , MTWC,   0, 264N, 1438E,  95,    0, TY
WP, 15, 2018072712,   , MTWC,   0, 283N, 1446E, 100,    0, TY
WP, 15, 2018072718,   , MTWC,   0, 303N, 1443E,  90,    0, TY
WP, 15, 2018072800,   , MTWC,   0, 323N, 1429E,  85,    0, TY
WP, 15, 2018072806,   , MTWC,   0, 338N, 1405E,  85,    0, TY
WP, 15, 2018072812,   , MTWC,   0, 342N, 1383E,  75,    0, TY
WP, 15, 2018072818,   , MTWC,   0, 346N, 1358E,  65,    0, TY
WP, 15, 2018072900,   , MTWC,   0, 344N, 1335E,  45,    0, TS
WP, 15, 2018072906,   , MTWC,   0, 340N, 1315E,  35,    0, TS
WP, 15, 2018072912,   , MTWC,   0, 332N, 1304E,  30,    0, TD
WP, 15, 2018072918,   , MTWC,   0, 320N, 1296E,  25,    0, TD
WP, 15, 2018073000,   , MTWC,   0, 310N, 1294E,  25,    0, TD
WP, 15, 2018073006,   , MTWC,   0, 303N, 1295E,  25,    0, TD
WP, 15, 2018073012,   , MTWC,   0, 292N, 1299E,  30,    0, TD
WP, 15, 2018073018,   , MTWC,   0, 289N, 1307E,  30,    0, TD
WP, 15, 2018073100,   , MTWC,   0, 295N, 1317E,  35,    0, TS
WP, 15, 2018073106,   , MTWC,   0, 305N, 1316E,  35,    0, TS
WP, 15, 2018073112,   , MTWC,   0, 309N, 1304E,  35,    0, TS
WP, 15, 2018073118,   , MTWC,   0, 308N, 1288E,  30,    0, TD
WP, 15, 2018080100,   , MTWC,   0, 302N, 1280E,  25,    0, TD
WP, 15, 2018080106,   , MTWC,   0, 296N, 1270E,  30,    0, TD
WP, 15, 2018080112,   , MTWC,   0, 290N, 1267E,  30,    0, TD
WP, 15, 2018080118,   , MTWC,   0, 285N, 1264E,  35,    0, TS
WP, 15, 2018080200,   , MTWC,   0, 286N, 1268E,  40,    0, TS
WP, 15, 2018080206,   , MTWC,   0, 293N, 1263E,  40,    0, TS
WP, 15, 2018080212,   , MTWC,   0, 301N, 1249E,  35,    0, TS
WP, 15, 2018080218,   , MTWC,   0, 304N, 1231E,  35,    0, TS
WP, 15, 2018080300,   , MTWC,   0, 306N, 1217E,  35,    0, TS
WP, 15, 2018080306,   , MTWC,   0, 309N, 1211E,  35,    0, TS
WP, 15, 2018080312,   , MTWC,   0, 317N, 1205E,  30,    0, TD
WP, 15, 2018080318,   , MTWC,   0, 330N, 1192E,  30,    0, TD
WP, 15, 2018080400,   , MTWC,   0, 338N, 1181E,  25,    0, TD
WP, 15, 2018080406,   , MTWC,   0, 340N, 1172E,  20,    0, DB
WP, 15, 2018080412,   , MTWC,   0, 341N, 1160E,  20,    0, DB
WP, 15, 2018080418,   , MTWC,   0, 343N, 1148E,  20,    0, DB
