WP, 29, 2018092400,   , MTWC,   0, 221N, 1626E,  15,    0, DB
WP, 29, 2018092406,   , MTWC,   0, 222N, 1613E,  15,    0, DB
WP, 29, 2018092412,   , MTWC,   0, 224N, 1597E,  20,    0, DB
WP, 29, 2018092418,   , MTWC,   0, 227N, 1582E,  20,    0, DB
WP, 29, 2018092500,   , MTWC,   0, 230N, 1565E,  25,    0, TD
WP, 29, 2018092506,   , MTWC,   0, 238N, 1550E,  25,    0, TD
WP, 29, 2018092512,   , MTWC,   0, 250N, 1538E,  25,    0, TD
WP, 29, 2018092518,   , MTWC,   0, 263N, 1525E,  30,    0, TD
WP, 29, 2018092600,   , MTWC,   0, 275N, 1519E,  35,    0, TS
WP, 29, 2018092606,   , MTWC,   0, 287N, 1515E,  40,    0, TS
WP, 29, 2018092612,   , MTWC,   0, 302N, 1512E,  40,    0, TS
WP, 29, 2018092618,   , MTWC,   0, 319N, 1514E,  35,    0, TS
WP, 29, 2018092700,   , MTWC,   0, 329N, 1520E,  35,    0, TS
WP, 29, 2018092706,   , MTWC,   0, 346N, 1527E,  30,    0, TD
WP, 29, 2018092712,   , MTWC,   0, 363N, 1539E,  25,    0, TD
WP, 29, 2018092718,   , MTWC,   0, 378N, 1559E,  25,    0, TD
WP, 29, 2018092800,   , MTWC,   0, 392N, 1584E,  30,    0, EX
WP, 29, 2018092806,   , MTWC,   0, 402N, 1615E,  35,    0, EX
WP, 29, 2018092812,   , MTWC,   0, 410N, 1645E,  35,    0, EX
WP, 29, 2018092818,   , MTWC,   0, 416N, 1680E,  35,    0, EX
